company,company_rating,title,uppers,downers,advice,date,author
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Mid-level in Audit & Assurance”,"
Longer hours during busy season",,,"Norfolk, VA2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“BDO - Helping People Thrive Every Day”,"Culture
","
Is still public accounting :-)
","
BDO's Core Purpose of Helping People Thrive Every Day is more than words - it is part of the culture and I feel very fortunate to be part of such a forward looking organization that is different than its peers.","Partner/Principal in External AuditMilwaukee, WI2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Partner/Principal in Tax”,"Culture, resources and outlook",,,"Grand Rapids, MI2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“BDO Cares”,"Pride in my Firm
","
Government deadlines
","
BDO prides itself on our core values. People First and Helping People Thrive are not just slogans.","Partner/Principal in Small Business ServicesNorfolk, VA2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“BDO is a great workplace for individuals to flurish”,The team is great. Easy to work with and each supports the other. People share credits and focus on the tasks.,,,"Experienced in TaxBoston, MA2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,"“R.E.S.P.E.C.T - for each other, for our clients and for the communities in which we live.”","We have the most amazing team members at all levels and disciplines who genuinely care about each other
","
definitely some long hours at times
","
Public accounting as a career is a marathon, not a sprint. The firm understands and supports that. Every decision is centered around what is the right thing to do for our people which ensures we have quality team members, quality clients and a really great place to work. During my career, I've had 3 children, taken two years of leave with a sick child, worked part time for a while, transferred to two other offices by my own choice, and still worked on some of the firms best clients. It's been a journey, and through it all, I have always felt fully supported by firm leadership.","Partner/Principal in Audit & AssuranceDenver, CO2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Experienced in Audit & Assurance”,"Flexibility, culture and challenge
","
Compensation/raises arent as high as I would like and feel I deserve",,"Boston, MA2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“BDO - What School Doesn't Teach You About Accounting”,"I absolutely love working with my coworkers and having the ability to learn and grow so much at this firm.
","
As with any public accounting position, the hours and managing many projects during busy season can be brutal.
","
Working in public accounting is stressful and not meant for everyone. However, there are its perks to working in public accounting such as job security and being fairly compensated right after graduating college. You will certainly learn more in public accounting than you will in private accounting, as you will be given the opportunity to work on many different kinds of clients in public. Private accounting is focused on one specific industry.","Entry-level in TaxSan Diego, CA2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Our people first providing excellent client service”,"The people I work with and the ability to lead opportunities for personal and firm business development.
","
Administration and lack of automation for providing statistical information.
","
Consideration of your skillset and client needs, opportunities to grow at your own pace, very people centric and willing to accommodate personal needs and goals.","Partner/Principal in External AuditMelville, NY2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Helping people thrive every day”,"firm commitment to its people, clients and core values
","
managing peaks and valleys of workload
","
Public accounting by it's nature is a demanding business. The firm works hard to recruit exceptional people who live the firm's core values, are empathetic and listen.","Partner/Principal in TaxMelville, NY2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Personal development and people”,"Gained experience, promotion opportunities, and flexibility for working from home and/or the office
","
Sometimes the hours are more than anticipated and throws off personal plans
","
Compensation, culture and people are the best aspects that my firm offers, as well as the promotion opportunities. One additional matter is the huge exposure to all the aspects of the audit which helps individuals to gain experience faster than any of the big four.","Experienced in Audit & AssuranceAtlanta, GA2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,"“Stressful job, great firm.”","Culture. Learning experiences. Growth Opportunities.
","
Stressful.
","
Ultimately BDO is a very good firm and I would highly recommend working there. I believe its a better option due to the opportunity and the variety of work of work one will experience.","Entry-level in Audit & AssuranceSan Jose, CA2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Great place to grow”,Great culture,,,"Partner/Principal in Audit & AssuranceChicago, IL2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Entry-level in Audit & Assurance”,The people,,,"Spokane, WA2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Working hard and never giving up on your goals truly pays off.”,"I really enjoy the people I work with. Everyone is very supportive and is willing to help you where needed. I feel that everyone is close/friends with each other so it makes working the long hours easier. My career advisor is very supportive of me and will help me acheive my goals and the career path I am wanting. I have been given so many opportunities from working at BDO.
","
It is hard during busy season to be able to have a work life balance due to the client demands. However, everyone helps out as much as they can so everyone can get the client work done in a timely manner.
","
Just because BDO isn't labeled as Big 4, don't cross them off the list just yet. We are the biggest middle market firm, so yes we have the middle market name, however, we do compete with the Big 4 for clients. I have very large clients and I have very small clients. What I like most about BDO, and what made me choose BDO, was that I was able to choose what I wanted to do and the speed that I wanted to do it in. Many firms would place you in a specific department during your internship based on availability. For the tax department at BDO, we give the interns and new hires a mixture of different return types and industry types and let them choose what path they want to go down. I also wanted to be rewarded for the effort I put in my job. If I worked hard, I wanted to be compensated and promoted (if ready) based on my work ethic. I didn't want to have to get promoted as a group with my intern class. Because of that, I was successfully able to make manager with only 4 years of full time experience. No matter what company you go with, the hours and difficulty will always be comparable. It's the firm with the best culture that you feel you will fit in and what you want out of your career to help make your decision as to where to go. And hopefully that will be here at BDO.","Experienced in TaxDallas, TX2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,"“BDO is a fantastic consulting and accounting firm that leads and does not follow. We care about the success of our people, clients and society.”","Great leadership and executive team, state of the art open office design, excellent training and mentoring ""culture"" within the firm, positive collaboration amongst regional and national offices and state of the art technical resources. I truly appreciate the fact that our executive leaders and board are working hard to keep us at the cutting edge from a technology and cyber/security standpoint, and their focus on diversifying and strengthening our firm as we grow.
","
Recurring busy seasons and related long hours, but we can't fix government mandated tax deadlines and such.
","
We work hard and play hard - there is no way you can get around the busier times, it's part of public accounting life, you need to embrace the fact that during those busy times you grow a lot as a person and professional, PTO is encouraged as well as work life balance. We don't just say it, we live active and fun lives in our locality/office, we are a leader in our industry and any candidate who wants to work in the ""middle market"" would be fortunate to be offered a position with our firm!","Partner/Principal in TaxAnchorage, AK2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,"“great work experience, flexible time, compensation”","work remortely, type of work/clients
","
na
","
compensation, workload, quality of life","Mid-level in BookkeepingNew York, NY2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Great People Great place to work”,"The people and interesting work
","
Covid shut down
","
Look professional and take care of your health","Mid-level in TaxChicago, IL2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Partner/Principal in Audit & Assurance”,"flexibility
","
busy season hours",,"Pittsburgh, PA2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“BDO is providing me the opportunities to thrive as a professional and a person.”,"The character and integrity of the people of BDO. The opportunity to work with a diverse array of clients. The flexibility and respect for individual health and well-being.
","
The reactive approach to ""satisfying"" regulatory auditing requirements adds administrative burden to practitioners that I believe could be avoided by proactively applying Firm interpretations of already-established auditing standards.
","
For a candidate seeking a career in public accounting, BDO is a great alternative to the Big 4 and superior to other global firms in several ways. The core values of the Firm are a way of life for everyone who is part of the BDO family and not a list of do's and don'ts on a presentation slide. The culture is respectful, collaborative and flexible to ensure individual health and well-being while striving for the highest professional quality standards in the industry. The types of clients that the Firm serves and continually seeks are providing the basis for targeted, strategic and sustained growth. The Firm is investing heavily as part of the digital transformation that is ongoing in our industry and markets, to positively impact our people's careers and our clients' experience.","Experienced in External AuditAkron, OH2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Entry-level in Audit & Assurance”,"The people and the culture.
Advice to Candidates
If you are looking for a firm that has a great-work life balance and puts people first, choose BDO. BDO maintains a culture that helps people thrive, whether through working flexible hours when needed, or finding guidance about your career with your Career Advisor. From day one, you are met with many people to answer your questions and help you, along with many great formal trainings that are live or self-study. There are endless possibilities in store at BDO.",,"
If you are looking for a firm that has a great-work life balance and puts people first, choose BDO. BDO maintains a culture that helps people thrive, whether through working flexible hours when needed, or finding guidance about your career with your Career Advisor. From day one, you are met with many people to answer your questions and help you, along with many great formal trainings that are live or self-study. There are endless possibilities in store at BDO.","San Diego, CA2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Entry-level in Tax”,"The resources and prestige.
","
Busy season",,"Philadelphia, PA2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Challenging work in which you learn something new almost every day”,"flexibility and compensation
","
at times of the year there is an amazing amount of work to do
","
BDO has a culture of inclusiveness and entrepreneurship.","Executive in TaxMcLean, VA2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“You are only limited by yourself”,"The very cliche ""The People"" but seriously.
","
busy season of course but that's the field we're in.
","
I work in tax and I love it. If you work hard and are dependable, you can do pretty much what you want. I asked for more responsibility, I got. I want to learn in different areas, I got the training. I want a certain type of client, boom done. If you want to learn and grow, just ask and someone will point you in the right direction.","Entry-level in TaxHouston, TX2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Overall I love working for BDO and I hope to be able to work here for a long time.”,"The people. They my second family and the ability to learn in any aspect of the business you'd like to explore.
","
Transferring to another office is complicated and not always easy.
","
Overall a wonderful experience. I will say one negative now that I think about would be if the need comes up, transferring to another office. My husband was called to serve in a military base in another state, At first I tried to just transfer to the nearest office for BDO but they seemed unwelcoming of the idea and I feel like I wasn't given a real shot of being able to transfer. In the end I didn't really want to leave the office I work for and with COVID, it made it so much easier for me to work for the SLC BDO office from another state. So I'm just so happy I didn't have to start in a new office. It can be hard once you have relationships at your office, but I would like to hope if I do need to transfer in the future, I be taken more seriously.","Entry-level in TaxSalt Lake City, UT2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Firm provides platform for female partner to find her professional passion and to thrive - while at the same time raising a family”,"Flexibility, independence, camaraderie, tax technical training, internal resources (National Tax Office)
","
long hours, administrative burdens for partners",,"Partner/Principal in TaxAkron, OH2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“BDO recognizes team members strengths and abilities and matches it with opportunity and advancement.”,"Great people and culture, and ease of accessibility to firm leadership. Collaborative nature of our teams.
","
The usuals of public accounting - occasional long hours, balance of resources, client imposed deadlines
","
BDO provides all, or more, of the benefits and opportunities of our larger competitors, but has maintained a collaborative and accessible culture where every member is valued and has access to firm leadership and opportunities for advancement.","Partner/Principal in Audit & AssuranceTampa, FL2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,"“Excellent work environment that provides opportunities to grow, develop and challenge yourself.”","Excellent work environment that provides opportunities to grow, develop and challenge yourself.",,,"Experienced in TaxMcLean, VA2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,"“Good people, great culture, diverse clients, great opportunities.”","Great people for the most part. Very knowledgeable. Great support from national office
Advice to Candidates
Remember, this is a job in public accounting. Most jobs require long hours for part of the year. I would rather be busy than looking for work.",,"
Remember, this is a job in public accounting. Most jobs require long hours for part of the year. I would rather be busy than looking for work.","Executive in TaxDallas, TX2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“A place to thrive and learn”,"BDO offers a culture where anyone who wants to can and will succeed. The firm has a strong team culture.
","
The hours can be a bit much at times.",,"Experienced in TaxBoston, MA2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Find your path to success at BDO”,"opportunities within the firm to pursue the type of work/clients I enjoy working with.
","
sometimes the time demands are overwhelming
","
I was not really a believer in a ""Tone at the Top"" philosophy before I came to BDO, but I can honestly say that there is clear leadership ad support for all the firms programs on inclusion & diversity and a real commitment to their employees. The idea that happy satisfied employees will create happy satisfied clients is a pervasive theme at BDO, and it works.","Experienced in TaxSalt Lake City, UT2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Proud to be associated with BDO”,"technical support
","
proper staffing
","
BDO IS A FORWARD THINKNG FIRM THAT CARES ABOUT IT'S EMPLOYEES AND PROVIDES OPPORTUNITY.","Executive in TaxCharlotte, NC2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Superior resources with that home town welcome”,"To date, the culture and willingness of colleagues to work together represent the best aspect of the firm.
","
Starting with a firm during COVID-19 tends to be a challenge as there is no true face to face communication available when working remotely.",,"Experienced in Audit & AssuranceDallas, TX2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,"“Steep learning curve, paralleled with excellent training and mentors.”","The employees and teams are excellent on all levels (culture, training, competence).
","
Long hours
","
When entering public accounting, long hours is a given. If willing to commit the time and effort it take to be a CPA, candidate will greatly be rewarded with all of the experience and training that you will have received.","Entry-level in Audit & AssuranceSeattle, WA2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,"“World class great people, resources, training, processes/systems outside a big four firm environment.”","The resources for businesses, partners, and staff are amazing.
","
Challenging to deal with the administrative workload that falls on partners when there is a large quantity of clients. Systems and processes geared towards large public companies which doesn't fit 1/2 or more the client base. Partners need to ""scale and right size"" the national office tools and service offerings.
","
If you want to learn, explore opportunities throughout the world, take on challenging assignments, and get rewarded accordingly then this firm is an excellent fit for you.","Partner/Principal in TaxMadison, WI2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Partner/Principal in Audit & Assurance”,"People, culture, clients and the work we do",,,"Stamford, CT2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Mid-level in Tax”,"people
","
hours",,"Saint Louis, MO2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Entry-level in Audit & Assurance”,The best part about working at BDO is the people! I could not have asked for a better group to work with!,,,"Salt Lake City, UT2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Commitment to helping people thrive”,"Ability to help clients and mentor team members
","
Timing of client demands
","
Mentoring and inclusive environment, recognition for dedication, perseverance and talent.
Interesting and challenging clients.
People first attitude.
Opportunity for those willing to step up and take on leadership roles.","Partner/Principal in Audit & AssuranceSan Diego, CA2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“BDO - a growing Firm that cares about its people and profession”,"Firm Leadership and firm outlook
","
None noted thus far.",,"Experienced in TaxCharlotte, NC2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,"“BDO USA, LLP is a great firm that will give one a framework/direction and the ability for one to grow/develop professional/leadership skills.”","The People, clients and work environment.
","
tax season seems to extend more each year and the hours needed/required to service all the clients is growing.
","
BDO USA, LLP is a great firm to work for and the people and clients are great. With the firm's structure and career advising/mentoring, it allows everyone to grow at their pace and strive to be leaders at the firm.","Executive in TaxSpokane, WA2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“EXCEPTIONAL”,"PEOPLE
","
ECONOMIC UNCERTAINTY
","
Here at BDO you succeed with hard work, willingness to learn and ability to work in an effective team environment.","Partner/Principal in Audit & AssuranceNew York, NY2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Partner/Principal in Audit & Assurance”,BDO provides me with a world class platform to practice and serve cleints,,,"Costa Mesa, CA2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Thriving Every Day at BDO”,"Culture, Work-life balance, Learning and Development
","
N/A
","
My experience at BDO has been one of an excellent culture where the company has large yet achievable goals and employees are encouraged to engage with one another. I have had an excellent work-life balance and am glad to be in this line of work during the current environment in our country and world.","Experienced in Audit & AssuranceMcLean, VA2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Mid-level in Tax”,I like the ability to work from home and hope this will remain after the pandemic.,,,"Philadelphia, PA2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Experiences and knowledge you won't want forget.”,"BDO promotes a culture of growth and wanting to see their employees do well. Employees are given many opportunities to prove they can handle responsibilities of the next level up.
","
Like any public accounting firm, there are stints of long work weeks and sometimes work on the weekends.
","
If you are looking for a firm where you wish to expand your accounting knowledge and skills in an environment where your company invests in your growth, then BDO is a good fit for you. They are not just looking for employees, but future managers and partners. They want to see you succeed and give you the resources to do so.","Entry-level in Audit & AssuranceSan Francisco, CA2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Working with great people in thriving industries”,"The colleagues and the clients I work with
","
Work hours and staffing during busy seasons",,"Mid-level in Audit & AssuranceLas Vegas, NV2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“outstanding”,"Firm culture
","
Maintaining adequate staffing levels",,"Executive in Audit & AssuranceAtlanta, GA2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Mid-level in Audit & Assurance”,"Promotion opportunities and training opportunities
","
Work hours",,"Phoenix, AZ2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“BDO Is The Place To Be”,"I very much enjoy the people I work with.
","
Some of the administrative aspects.
","
I believe if someone is considering a career in public accounting they will not find a better firm than ours in terms of culture, benefits and career opportunities.","Partner/Principal in TaxAkron, OH2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“exponential learning and growth in an open-minded environment”,"culture and resources
","
staffing struggles
","
candidates should know that typically every public firm struggles with turnover and heavy workloads. it is important to pay attention to how the firm takes care of its employees. my firm does a great job in recognizing efforts and prioritizing flexibility/autonomy. it is important to feel like your hard work has a purpose. at my firm, we do not do a lot of ""busy"" work, we strive to be as effective and efficient as possible, thus our work is meaningful. it is important to feel valued and give and receive feedback often. our firm gives us days off when we hit a deadline, in order to show appreciation for the long hours worked to meet that deadline. employees are very open with appreciation and continually give genuine and specific thank-you's. the culture is set up in a way that we all help each other out and we all have high expectations for each other. leadership is there to help you succeed and make sure you have everything you need to do your job. they collaborate with you when you are struggling, instead of reprimanding. there is a commitment to employees remaining balanced in their life, as we discuss our flexibility needs openly and we are strict about taking breaks, as evidenced by the firms annual paid closure from December 25th through January 1st that is available for all employees (not part of PTO). there is no pressure to work during this time either.","Mid-level in Audit & AssurancePhoenix, AZ2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Experienced in Tax”,"Variety of work
","
Long hours during busy season",,"Seattle, WA2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Mid-level in Audit & Assurance”,"Experience, Benefits, Relationships
","
Lots of busy work, easy to get lost in the work",,"Spokane, WA2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Great place to work!”,"Great resources to assist us complete our assignments, abundant trainings to improve our knowledge, wonderful support teams",,,"Experienced in TaxBaltimore, MD2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Executive in Tax”,"Culture and commitment to excellence.
Advice to Candidates
We're a great alternative to the Big 4 and the culture is just better and more focused on employees and clients. Less political as well vs. the Big 4.",,"
We're a great alternative to the Big 4 and the culture is just better and more focused on employees and clients. Less political as well vs. the Big 4.","Stamford, CT2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Never a Dull Moment.”,"Already described above
","
Roller Coaster ride due to client/project deadlines driven by external factors - Its the Industry.
","
The firm is growing rapidly which is creating a lot of opportunities. If you want to be part of success, change and expansion - come join us!","Partner/Principal in Audit & AssuranceMiami, FL2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Importance of strong culture and supportive leaders”,"Great people first culture! friendly and approachable leadership team
","
infrastructure still in need of more investment",,"Partner/Principal in Audit & AssuranceSan Jose, CA2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Mid-level in Audit & Assurance”,"The firm has shown the ability to remain flexible even during hard times. I believe the firm has grown and improved during COVID and believe employees will be given the opportunity to work remotely at will, excluding previously engaged commitments.
","
During certain times, the hours can be difficult to manage.",,"Costa Mesa, CA2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“A great learning experience in an environment that has a great culture”,"Great culture, great opportunities to learn and gain experience, potential for working remotely
","
At times stressful and high workloads. A lot of compliance.
","
This firm is a great place to learn and to gain valuable experience. They have excellent formal training in everything from accounting/audit, compliance, IC and analytics/technology.","Entry-level in Audit & AssuranceSan Diego, CA2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Great place to work that provide abundant opportunities for professional growth”,"Flexibility
","
Hours
","
BDO is a great place to work that provide abundant opportunities for professional growth","Partner/Principal in TaxAustin, TX2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Live by our core values”,"the people
","
all about the KPIs",,"Partner/Principal in TaxMcLean, VA2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Partner/Principal in Tax”,"culture and people
","
hours",,"Detroit, MI2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“BDO is uniquely situated as the 5th largest firm in the world providing a unique alternative to some of our larger global competitors. Our core”,"Being able to be part of a firm that helps people thrive and the massive upside we have for growth.
Advice to Candidates
BDO is uniquely situated as the 5th largest firm in the world providing a unique alternative to some of our larger global competitors. Our core values allow us to remain grounded and have a culture that focuses on helping people thrive. As we continue to grow there are tremendous opportunities available all across the firm. At BDO you can have 4 or 5 careers if you like given the breadth and depth of our organization.",,"
BDO is uniquely situated as the 5th largest firm in the world providing a unique alternative to some of our larger global competitors. Our core values allow us to remain grounded and have a culture that focuses on helping people thrive. As we continue to grow there are tremendous opportunities available all across the firm. At BDO you can have 4 or 5 careers if you like given the breadth and depth of our organization.","Partner/Principal in TaxGrand Rapids, MI2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Partner/Principal in Audit & Assurance”,"Working with my clients.
","
The long hours during busy season and the stress of deadlines.",,"Orlando, FL2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“BDO really does care about employees”,"The unanimous description by employees who have worked at least 5 years that they haven't felt burn-out like their friends at other firms.
","
Possibility of working across town, which would mean a 2 hour drive to client site - basically just Houston.
","
I haven't been here long, and my internship only lasted 3 months, but I am still excited about working for this company. Even as an intern, I felt like I was making a difference.","Entry-level in Audit & AssuranceHouston, TX2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Overall very good experience”,"Working remotely
","
Compensation
","
The firm has great individuals working together with great opportunities to grow as an individual and professional.",Mid-level in Audit & Assurance2021,VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Forward thinking firm offers wide variety of opportunities without all the stress”,Local leadership; strong firm with sensibilities and work life balance.,,,Mid-level in External Audit2021,VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“excellent”,"colleagues
","
none
","
great ability to progress at your own speed vs a set number of years at a level","Executive in TaxBoston, MA2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“BDO provides a work-life balance without sacrificing your ability to be a high achiever”,"Work-life balance
","
If you don't like someone you work with, there is not much you can do about it.
","
BDO provides a good balance of complex work and work-life balance that is difficult for the larger firms to achieve. The pay is great and the workloads are manageable, though this may be different if you are not working in a specialty tax practice (I specialize in international tax). The business appears to be growing well and BDO shows most of the hallmarks of a top-tier firm. While the technical resources are not as robust as the big four, they are still very good and you get to be part of a high performing team.","Experienced in TaxDetroit, MI2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Executive in Tax”,"Flexibility and the type of work that I do.
","
Long hours and tight deadlines
","
Great coworkers, good work and less politics than Big Four firms.","Austin, TX2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“BDO drives you excel with endless challenging and rewarding opportunities in a team environment.”,"Firm culture and people that I work with
","
Administrative duties
","
BDO is constantly looking to better position the firm with changes in marketplace, technology and work environment. Candidates can expect to be engaged in challenging and rewarding work with many opportunities for career advancement.","Executive in TaxMcLean, VA2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Entry-level in Tax”,"The people- Everyone I met is genuinely friendly. And individuals at all levels seem to be appreciated and valued as team members.
","
The compensation and vacation time are not as competitive after first-year associate level.",,"Atlanta, GA2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,"“Strong growth, serving premier and high growth clients, great team, with an entrepreneurial and family feel”","Entrepreneurial spirit, great clients, great teammates, commitment to hiring, friendly/family like culture
","
the usual challenges associated with public accounting, nothing firm-specific",,"Partner/Principal in Audit & AssuranceSan Francisco, CA2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Partner/Principal in Audit & Assurance”,"Ability to use my skills and work on projects that I enjoy.
Advice to Candidates
BDO understands that everyone has a different situation, life, goals, skills and goals. They have a suite of benefits that employees can take advantage of, including personalized work schedules.",,"
BDO understands that everyone has a different situation, life, goals, skills and goals. They have a suite of benefits that employees can take advantage of, including personalized work schedules.","Denver, CO2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Big-firm resources and capabilities with a small-firm culture.”,"Amazing team, great client base and opportunities for technical growth, big-firm benefits with in-house CPE, better comp, opps for advancement
","
Big-firm brings more hours during busy season, but it's a trade-off in other areas with better benefits than my old small firm
","
The compensation package is great, there are endless opportunities to specialize/focus on certain areas and build a niche for yourself, great leadership, amazing technology and resources, and the firm is continuing to grow and compete for interesting new clients",Experienced in TaxOther2021,VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“Entry-level in Audit & Assurance”,"Opportunity, immense experience, and firm culture/outlook.
","
None noted.",,"Costa Mesa, CA2021",VERIFIED EMPLOYEE
"BDO USA LLP
Related Internships:  BDO USA, LLP Internship",4,“15 years with the firm and still love it!”,"Resourceful, culture and people.
","
Constant system/software updates with insufficient local support.
","
BDO is a firm with great resources and growth potential. It has an inclusive culture and flat structure. It is a great place for fresh graduates to start their accounting career and build their foundation and a great place to continue their growth as the firm promotes people by their merits.","Executive in TaxHouston, TX2021",VERIFIED EMPLOYEE
