,index,Survey_Question,SEAF_Vectors,Unnamed_2,Master_Framework,"('indicator_from_Master_Framework_',)","('What_Works',)","('Trigger_for_Recommending_What_Works',)","('SEAF_Themes',)","('Type',)","('SEAF_Scoring_parameter',)",vector,parameter,par
57,56,Does the company provide equal leave benefits to women and men employees?,Benefits and professional development ,,"WRK_MLEAVE_F_96,WRK_PLEAVE_M_97,WRK_PRNTAL_T_171","Is paid leave of at least 14 weeks available to women?, Is paid leave available to fathers?, Is there paid parental leave?","Conduct equity and impact analysis of benefits, including usage/uptake of benefits (Benefits)*Ensure that benefits  such as medical coverage, tuition reimbursement and retirement savings  are equally accessible to male and female employees, including those working part-time (Benefits)*Establish family leave policies meeting the stated needs of parents and  employees caring for sick family members (Policies)",No,Leave Benefits,Practice,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Apporach to Paid Parental Leave,Commitment
58,57,Does the company guarantee the right to return to work after parental leave to the same or equivalent position and pay? ,Benefits and professional development ,,,,"Establish inclusive attraction, recruiting, and hiring policies and practices",No,Return to Work,Policy,"Yes/no response contributing to sub-parameter score
",,,
59,58,Does the company equally provide healthcare insurance benefits for all employees?,Benefits and professional development ,,"ENV_HLTCOV_T_2017,ENV_HLTEXP_T_2018","% of population with coverage of essential health services, % of population with household health expenditures greater than 10% of total household expenditure or income","Ensure that benefits  such as medical coverage, tuition reimbursement and retirement savings  are equally accessible to male and female employees, including those working part-time (Benefits)*Institute an inclusive employee health and wellness program to improve the health, wellbeing, and productivity to support all female and male employees, including those working part-time (Benefits)",No,Healthcare,Practice,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Approach to Health Insurance Policies and Practices,Commitment
60,59,Are the trainings relevant to their current occupations?,Benefits and professional development ,,,,Create training plan for each employee with a focus on exposure of women to other work areas and duties to achieve skill parity (Training)*Provide leadership and technical skills training to women to prepare them for new roles and responsibilities (Training),No,"Training,Professional Development",Practice,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Approach to Promote Women's Professional Developmanet and Training,Implementation
61,60,"Does the company continuously assess risks regarding adverse impacts on the health and well-being of employees, including their sexual and reproductive health and right as well as mitigation plans?",Benefits and professional development ,,,,Establish health and safety policy that explicitly and equally considers the needs of women and men (Policies),No,Healthcare,Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Approach to Health Insurance Policies and Practices,Implementation
62,61,"Does the company track the types of health services provided at the workplace and collect information on who is using the services, disaggregated by sex?",Benefits and professional development ,,,,"Collect, analyze, and report sex-disaggregated data on health services provision and uptake to inform HR policies ",No,Healthcare,Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",,,
63,62,Does the company track the eï¬€ectiveness of its approach to retain women after maternity leave?,Benefits and professional development ,,,,"Conduct equity and impact analysis of benefits, including usage/uptake of benefits (Benefits)*Collect and analyze sex-disaggregated data at the company level and use the data to regularly monitor progress of gender equity interventions (Company Performance) ",No,Return to Work,Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",,,
64,63,Does the company support a broad variety of leadership styles?,Benefits and professional development ,,,,Support diversity in workplace management and leadership,No,Leadership,Practice,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Approach to Performance Reviews Policies & Promotion Practices,Commitment
65,64,"Does the company provide critical illness or disability insurance benefits? If so, is it equally provided for men and women?",Benefits and professional development ,,"ENV_HLTCOV_T_2017,ENV_HLTEXP_T_2018","% of population with coverage of essential health services, % of population with household health expenditures greater than 10% of total household expenditure or income","Ensure that benefits  such as medical coverage, tuition reimbursement and retirement savings  are equally accessible to male and female employees, including those working part-time (Benefits)*Institute an inclusive employee health and wellness program to improve the health, wellbeing, and productivity to support all female and male employees, including those working part-time (Benefits)",No,Healthcare,Practice,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Approach to Health Insurance Policies and Practices,Commitment
66,65,Do the insurance benefits provided by the company include preventive care for women?,Benefits and professional development ,,"ENV_HLTACC_F_2019,HOC_NCDMOR_F_4556","% of women that experience problems accessing health care, Female NCD mortality rate (per 100,000 population)","Institute an inclusive employee health and wellness program to improve the health, wellbeing, and productivity to support all female and male employees, including those working part-time (Benefits)",No,Healthcare,Practice,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Approach to Health Insurance Policies and Practices,Implementation
67,66,"Does the company actively encourage the use of paternity leave (e.g., communicating about the policy, actively promoting employees to take leave, providing examples of leaders taking paternity leave or setting a mandatory requirement to take leave)? ",Benefits and professional development ,,,,"Create working conditions that support improved reconciliation of work and family life for women and men with care duties (Benefits)*Communicate company commitment to gender equality, diversity, and inclusion during onboarding (Onboarding)*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties",No,Maternity/ Paternity Leave,Practice,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Apporach to Paid Parental Leave,Implementation
68,67,Are the trainings relevant to each individual employeeâ€™s career path?,Benefits and professional development ,,,,Create training plan for each employee with a focus on exposure of women to other work areas and duties to achieve skill parity (Training)*Provide leadership and technical skills training to women to prepare them for new roles and responsibilities (Training),No,"Training,Professional Development",Practice,"Yes/no response contributing to sub-parameter score
",,,
69,68,Does the company regularly promote gender discrimination awareness and train its employees to minimize unconscious gender bias?,Benefits and professional development ,,WRK_ECBIAS_F_64,% of women that express economic gender bias (believe that men have more right to a job or make better business executives than women),"Develop and conduct gender awareness, anti-discrimination, diversity and inclusion, and unconscious bias trainings (Training)*Design and implement a fair and unbiased employee performance management and appraisal system and process (Performance Management)",No,Discrimination,Practice,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Approach to Performance Reviews Policies & Promotion Practices,Implementation
70,69,Does the company communicate its professional development and training programs in such a way that women feel comfortable pursuing the offer?,Benefits and professional development ,,,,"Assess and revise internal and external communications to communicate gender equality, diversity, and inclusion commitment and provide gender equitable messaging, language and  photos (Corporate Communication)",No,"Training,Professional Development",Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Approach to Promote Women's Professional Developmanet and Training,Communication
71,70,"Does the company analyze the uptake rate of diï¬€erent forms of leave benefits, including parental leave, to determine if it is communicating such policies effectively and/or if the company has a culture that discourages taking such benefits?",Benefits and professional development ,,,,"Conduct equity and impact analysis of benefits, including usage/uptake of benefits (Benefits)",No,Leave Benefits,Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",,,
72,71,"Does the company report to the Board of Directors on the total number of employees promoted in the last year, disaggregated by sex?",Benefits and professional development ,,,,Disclose gender equality and diversity targets and/or key performance  indicators (KPIs) on gender equality and D&I in publicly available reports and indices (Company Reporting),No,Promotion,Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Approach to Performance Reviews Policies & Promotion Practices,Accountability and Transparency
73,72,Does the company set goals and objectives for trainings?,Benefits and professional development ,,,,Create training plan for each employee with a focus on exposure of women to other work areas and duties to achieve skill parity (Training),No,Training,Practice,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Approach to Promote Women's Professional Developmanet and Training,Measurement
74,73,Does the company report its progress and target improvement on paid parental leave (if any) to the Board of Directors?,Benefits and professional development ,,,,Collect and analyze sex-disaggregated data at the company level and use the data to regularly monitor progress of gender equity interventions (Company Performance) ,No,Maternity/ Paternity Leave,Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",,,
75,74,Is there a process to ensure there is a shortlist of suitable candidates (disaggregated by sex) before the decision for promotions is made,Benefits and professional development ,,,,Design and implement a fair and unbiased employee performance management and appraisal system and process (Performance Management)*Assess diverse talent pipeline health by identifying talent and leadership development needs through gap analysis (Talent & Leadership Development)*Develop promotion processes to counteract bias in promotions (Promotion),No,Promotion,Practice,"Yes/no response contributing to sub-parameter score
",,,
76,75,Does the company have time-bound and measurable goals and targets to build a pipeline of qualified women for management-level positions?,Benefits and professional development ,,WRK_SRMANG_F_1030,% of senior and middle management positions held by women,"Devise a targeted strategy to retain top female talent including high-performing women, women in key technical functions, and women demonstrating leadership potential (Retention)",No,"Professional Development,Equal Participation",Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Approach to Promote Women's Professional Developmanet and Training,Measurement
77,76,Does the company comply with the number of days of paid parental leave provided to meet government requirements or is it higher than the regulated level?,Benefits and professional development ,,"WRK_MLEAVE_F_96,WRK_PLEAVE_M_97,WRK_PRNTAL_T_171","Is paid leave of at least 14 weeks available to women?, Is paid leave available to fathers?, Is there paid parental leave?","Conduct equity and impact analysis of benefits, including usage/uptake of benefits (Benefits)*Provide parental leave (maternity and paternity leave) that meets or  exceeds the requirements of national legislation (Policies)",No,Maternity/ Paternity Leave,Policy,"Yes/no response contributing to sub-parameter score
",,,
78,77,Does the company have measures in place to ensure professional development programs are scheduled at times that accommodate the scheduling needs of both men and women (taking into consideration care responsibilities)?,Benefits and professional development ,,CAR_MINUTE_F_122,# of minutes per day that women spend on unpaid care work,Establish policies to promote reconciliation of work-life and family-life (Policies),No,"Professional Development,Care Duties",Practice,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Approach to Promote Women's Professional Developmanet and Training,Implementation
79,78,Does the company report publicly to company stakeholders and the Board on the number of employees that took parental leave and the return to work and retention rates?,Benefits and professional development ,,,,Disclose gender equality and diversity targets and/or key performance  indicators (KPIs) on gender equality and D&I in publicly available reports and indices (Company Reporting),No,"Maternity/ Paternity Leave,Return to Work",Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Apporach to Paid Parental Leave,Accountability and Transparency
80,79,Does the company provide health coverage to the employeeâ€™s spouse or domestic partner and family members?,Benefits and professional development ,,"ENV_HLTCOV_T_2017,ENV_HLTEXP_T_2018","% of population with coverage of essential health services, % of population with household health expenditures greater than 10% of total household expenditure or income","Ensure that benefits  such as medical coverage, tuition reimbursement and retirement savings  are equally accessible to male and female employees, including those working part-time (Benefits)*Institute an inclusive employee health and wellness program to improve the health, wellbeing, and productivity to support all female and male employees, including those working part-time (Benefits)",No,Healthcare,Practice,"Yes/no response contributing to sub-parameter score
",,,
81,80,"Does the company request feedback from third-party experts, such as NGOs or other independent organizations specialized in women's health needs, who could identify any potential gaps and areas for improvement?",Benefits and professional development ,,ENV_HLTACC_F_2019,% of women that experience problems accessing health care,Establish health and safety policy that explicitly and equally considers the needs of women and men (Policies),No,Healthcare,Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",,,
82,81,Does the company offer access to professional networks (internal and/or external) with specific support for women?,Benefits and professional development ,,,,Encourage managers and other employees to integrate and â€œsocializeâ€ new hires for their first year (Onboarding)*Develop and implement a â€œbuddy systemâ€ for new employees as part of onboarding (Onboarding)*Provide mentoring for women with diverse social identities to cultivate their talent and mentoring for men to foster male allies (Talent Development)*Provide sponsorship for women with diverse social identities to make them more visible for promotion (Leadership Development),No,Professional Development,Practice,"Yes/no response contributing to sub-parameter score
",,,
83,82,Does the company offer mentoring program(s) with specific support for women?,Benefits and professional development ,,WRK_SRMANG_F_1030,% of senior and middle management positions held by women,Develop structured talent development plan and process to counteract bias and gender parity and diversity imbalances in talent pool (Talent Development)*Provide mentoring for women with diverse social identities to cultivate their talent and mentoring for men to foster male allies (Talent Development)*Provide sponsorship for women with diverse social identities to make them more visible for promotion (Leadership Development),No,Professional Development,Practice,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Approach to Promote Women's Professional Developmanet and Training,Implementation
84,83,Do employees have access to their past career progress and understand areas of development needed for promotion to the next level?,Benefits and professional development ,,,,Develop promotion processes to counteract bias in promotions (Promotion)*Design and implement a fair and unbiased employee performance management and appraisal system and process (Performance Management),No,"Performance Review,Promotion",Practice,"Yes/no response contributing to sub-parameter score
",,,
85,84,"Does the company report to the Board of Directors on the total number of women, as compared to men, in management and senior leadership level positions?",Benefits and professional development ,,,,Collect and analyze sex-disaggregated data at the company level and use the data to regularly monitor progress of gender equity interventions (Company Performance) *Disclose gender equality and diversity targets and/or key performance  indicators (KPIs) on gender equality and D&I in publicly available reports and indices (Company Reporting),No,"Equal Participation,Leadership",Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Approach to Performance Reviews Policies & Promotion Practices,Accountability and Transparency
86,85,Does the company actively seek to employ women in managerial and senior-level positions?,Benefits and professional development ,,WRK_SRMANG_F_1030,% of senior and middle management positions held by women,"Provide leadership and technical skills training to women to prepare them for new roles and responsibilities (Training)*Design and implement a fair and unbiased employee performance management and appraisal system and process (Performance Management)*Assess diverse talent pipeline health by identifying talent and leadership development needs through gap analysis (Talent & Leadership Development)*Develop structured talent development plan and process to counteract bias and gender parity and diversity imbalances in talent pool (Talent Development)*Develop structured and longterm leadership development plan to include women with diverse social identities at all leadership levels (Leadership Development)*Provide sponsorship for women with diverse social identities to make them more visible for promotion (Leadership Development)*Introduce job sharing for management functions and other key roles (Leadership Development)*Provide on-the-job learning opportunities, such as job shadowing83 and job rotations, especially for business areas in which women are underrepresented (Leadership Development)*Devise a targeted strategy to retain top female talent including high-performing women, women in key technical functions, and women demonstrating leadership potential (Retention)*Establish and implement succession plans that are inclusive of women (Succession Planning)*Use skill mapping to support unbiased succession planning and promotion (Succession Planning & Promotions) *Develop promotion processes to counteract bias in promotions (Promotion)*Make gender equality, diversity, and inclusion part of the workplace culture (Corporate Culture)",No,"Equal Participation,Leadership",Practice,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Approach to Performance Reviews Policies & Promotion Practices,Implementation
87,86,Does the company report its progress and target improvement on performance reviews policies and promotion practices (if any) to the Board of Directors?,Benefits and professional development ,,,,Disclose gender equality and diversity targets and/or key performance  indicators (KPIs) on gender equality and D&I in publicly available reports and indices (Company Reporting),No,"Performance Review,Promotion",Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",,,
88,87,"Does the company report publicly to company stakeholders on the average number of training hours, disaggregated by sex and employee level?",Benefits and professional development ,,,,Collect and analyze sex-disaggregated data at the company level and use the data to regularly monitor progress of gender equity interventions (Company Performance) ,No,Training,Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Approach to Promote Women's Professional Developmanet and Training,Accountability and Transparency
89,88,Does the company consult with male and female employees to determine if health services and benefits meet employee needs?,Benefits and professional development ,,ENV_HLTACC_F_2019,% of women that experience problems accessing health care,"Organize informal talks between the CEO and employees, ensuring inclusion of women with diverse social identities (Employment Engagement)",No,Healthcare,Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Approach to Health Insurance Policies and Practices,Implementation
90,89,Does the company provide paid parental leave (and is this above what is required by law)?,Benefits and professional development ,,WRK_PRNTAL_T_171,Is there paid parental leave?,Provide parental leave (maternity and paternity leave) that meets or  exceeds the requirements of national legislation (Policies),No,Maternity/ Paternity Leave,Practice,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Apporach to Paid Parental Leave,Implementation
91,90,"Does the company post health-related information in public areas in line with the local or national context, especially when there are public health outbreaks that can disproportionally impact women?",Benefits and professional development ,,ENV_HLTACC_F_2019,% of women that experience problems accessing health care,Provide gender-sensitive health-related public information,No,Healthcare,Practice,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Approach to Health Insurance Policies and Practices,Implementation
92,91,Does the company have a stand-alone policy or a commitment embedded in a broader corporate policy that recognizes the diï¬€erent health needs of women and men?,Benefits and professional development ,,,,"Institute an inclusive employee health and wellness program to improve the health, wellbeing, and productivity to support all female and male employees, including those working part-time (Benefits)*Establish an Employee Assistance Program (EAP) to support the mental and emotional health of female and male employees (Benefits)",No,Healthcare,Policy,"Yes/no response contributing to sub-parameter score
",,,
93,92,Does the company assess performance review and promotional procedures and documents to eliminate pro-male or pro-childless criteria and competencies?,Benefits and professional development ,,,,"Design and implement a fair and unbiased employee performance management and appraisal system and process (Performance Management)*Review and revise all company policies to support gender equality, diversity, and inclusion goals (Policies)",No,"Performance Review,Promotion",Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",,,
94,93,"Does the company report to the Board of Directors on the average number of training hours, disaggregated by sex and employee level?",Benefits and professional development ,,,,Collect and analyze sex-disaggregated data at the company level and use the data to regularly monitor progress of gender equity interventions (Company Performance) ,No,Training,Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Approach to Promote Women's Professional Developmanet and Training,Accountability and Transparency
95,94,"Does the company report publicly to company stakeholders on the total number of women, as compared to men, in management and senior leadership level positions?",Benefits and professional development ,,,,Disclose gender equality and diversity targets and/or key performance  indicators (KPIs) on gender equality and D&I in publicly available reports and indices (Company Reporting),No,"Equal Participation,Leadership",Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Approach to Performance Reviews Policies & Promotion Practices,Accountability and Transparency
96,95,Does the company offer leadership coaching with specific support for women?,Benefits and professional development ,,WRK_SRMANG_F_1030,% of senior and middle management positions held by women,Provide leadership and technical skills training to women to prepare them for new roles and responsibilities (Training)*Develop structured talent development plan and process to counteract bias and gender parity and diversity imbalances in talent pool (Talent Development)*Develop structured and longterm leadership development plan to include women with diverse social identities at all leadership levels (Leadership Development)*Provide sponsorship for women with diverse social identities to make them more visible for promotion (Leadership Development),No,Professional Development,Practice,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Approach to Promote Women's Professional Developmanet and Training,Implementation
97,96,Does the company enhance the visibility of a women professional role model? ,Benefits and professional development ,,WRK_SRMANG_F_1030,% of senior and middle management positions held by women,"Develop and implement a â€œbuddy systemâ€ for new employees as part of onboarding (Onboarding)*Participate in gender equality and diversity awards, rankings certification processes (Company Performance & Reporting)*Showcase talented female employees with diverse social identities and their professional achievements (Corporate Communication)*Build a successful employer brand that is attractive to female candidates and individuals with diverse social identities (Corporate Branding)",No,Leadership,Practice,"Yes/no response contributing to sub-parameter score
",,,
98,97,Does the company allow employees to provide feedback to improve the training programs?,Benefits and professional development ,,,,Create training plan for each employee with a focus on exposure of women to other work areas and duties to achieve skill parity (Training),No,Training,Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Approach to Promote Women's Professional Developmanet and Training,Accountability and Transparency
99,98,Does the company report its progress and target improvement on health insurance policies and practices (if any) to the Board of Directors?,Benefits and professional development ,,,,"Collect, analyze, and report sex-disaggregated data on health services provision and uptake to inform HR policies ",No,Healthcare,Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",,,
100,99,Is access to performance expectations or key performance indicators (KPI) available to all employees?,Benefits and professional development ,,,,Design and implement a fair and unbiased employee performance management and appraisal system and process (Performance Management),No,Performance Review,Practice,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Approach to Performance Reviews Policies & Promotion Practices,Communication
101,100,"Does the company offer development trainings, rotational programs and educational opportunities with specific support for women?",Benefits and professional development ,,,,"Create standardized training plan with must-have trainings for all employees (Onboarding & Training)*Create training plan for each employee with a focus on exposure of women to other work areas and duties to achieve skill parity (Training)*Provide leadership and technical skills training to women to prepare them for new roles and responsibilities (Training)*Develop structured talent development plan and process to counteract bias and gender parity and diversity imbalances in talent pool (Talent Development)*Develop structured and longterm leadership development plan to include women with diverse social identities at all leadership levels (Leadership Development)*Provide sponsorship for women with diverse social identities to make them more visible for promotion (Leadership Development)*Provide on-the-job learning opportunities, such as job shadowing83 and job rotations, especially for business areas in which women are underrepresented (Leadership Development)",No,"Training,Professional Development",Practice,"Yes/no response contributing to sub-parameter score
",,,
102,101,Is there gender balance in the decision-making body overseeing promotion processes?,Benefits and professional development ,,WRK_ECBIAS_F_64,% of women that express economic gender bias (believe that men have more right to a job or make better business executives than women),Design and implement a fair and unbiased employee performance management and appraisal system and process (Performance Management)*Develop promotion processes to counteract bias in promotions (Promotion),No,"Promotion,Equal Participation",Practice,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Approach to Performance Reviews Policies & Promotion Practices,Implementation
103,102,Does the company track the gender composition of employees taking family leave benefits?,Benefits and professional development ,,,,"Conduct equity and impact analysis of benefits, including usage/uptake of benefits (Benefits)*Collect and analyze sex-disaggregated data at the company level and use the data to regularly monitor progress of gender equity interventions (Company Performance) ",No,Leave Benefits,Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Apporach to Paid Parental Leave,Measurement
104,103,Does the company equally provide training opportunities for all of its employees?,Benefits and professional development ,,"WRK_ECBIAS_F_64,EDU_EDBIAS_F_62,WRK_SRMANG_F_1030","% of women that express economic gender bias (believe that men have more right to a job or make better business executives than women), % of women that express educational gender bias (believe that university is more important for a man than a woman), % of senior and middle management positions held by women",Create standardized training plan with must-have trainings for all employees (Onboarding & Training),No,"Training,Professional Development",Practice,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Approach to Promote Women's Professional Developmanet and Training,Commitment
105,104,Does the company collect sex-disaggregated data on the percentage of employees shortlisted and promoted?,Benefits and professional development ,,,,Collect and analyze sex-disaggregated data at the company level and use the data to regularly monitor progress of gender equity interventions (Company Performance) ,No,Promotion,Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Approach to Performance Reviews Policies & Promotion Practices,Measurement
106,105,"Does the company provide vital information about the issue of violence against women, including helplines, crisis centers and contacts for women's shelters and specialized organizations that offer support?",Benefits and professional development ,,"GBV_PHYSEX_F_35,GBV_JSTIFY_F_70,WRK_WRYHAR_F_4056,WRK_HARASS_F_4057","% of women age 15-49 who have ever experienced physical or sexual violence, % of women that agree that a husband is justified in beating his wife under certain circumstances, % of female workers who worry about violence and harassment as a source of risk to their personal safety while working, % of female workers who have experienced, or know someone from work who has experienced, physical violence or harassment while working in the past two years",Facilitate employee access to information on where to obtain support on GBV,No,"GBV,Healthcare",Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",,,
107,106,Does the company communicate its insurance policies to its employees and notify employees of any changes?,Benefits and professional development ,,,,"Provide company-wide employee and specialized management training on gender equality and diversity strategies, policies and codes of conduct (Training)",No,Healthcare,Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Approach to Health Insurance Policies and Practices,Communication
108,107,Does the company conduct employee satisfaction surveys that include health care benefits?,Benefits and professional development ,,ENV_HLTCOV_T_2017,% of population with coverage of essential health services,"Conduct equity and impact analysis of benefits, including usage/uptake of benefits (Benefits)",No,"Healthcare,Benefits",Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Approach to Health Insurance Policies and Practices,Measurement
109,108,Does the company address deï¬ciencies in policy and practice?,Benefits and professional development ,,,,"Conduct equity and impact analysis of benefits, including usage/uptake of benefits (Benefits)*Dedicate budget and track use of financial resources to increase gender equality and diversity (Company Performance)*Review and revise all company policies to support gender equality, diversity, and inclusion goals (Policies)",No,Benefits,Practice,"Yes/no response contributing to sub-parameter score
",,,
110,109,Does the company have a review process for its leave policies and benchmark it against industry norms?,Benefits and professional development ,,,,"Conduct equity and impact analysis of benefits, including usage/uptake of benefits (Benefits)",No,Leave Benefits,Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Apporach to Paid Parental Leave,Accountability and Transparency
111,110,Does the company provide parental leave for all genders?,Benefits and professional development ,,"WRK_PLEAVE_M_97,WRK_PRNTAL_T_171","Is paid leave available to fathers?, Is there paid parental leave?","Ensure that benefits  such as medical coverage, tuition reimbursement and retirement savings  are equally accessible to male and female employees, including those working part-time (Benefits)*Establish policies to promote reconciliation of work-life and family-life (Policies)*Provide parental leave (maternity and paternity leave) that meets or  exceeds the requirements of national legislation (Policies)",No,Maternity/ Paternity Leave,Practice,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Apporach to Paid Parental Leave,Commitment
112,111,Does the company communicate leave policies to its employees annually and notify employees of any changes?,Benefits and professional development ,,"WRK_MLEAVE_F_96,WRK_PLEAVE_M_97,WRK_PRNTAL_T_171,WRK_GVMTBN_F_170","Is paid leave of at least 14 weeks available to women?, Is paid leave available to fathers?, Is there paid parental leave?, Does the government administer 100% of maternity leave benefits?","Build a successful employer brand that is attractive to female candidates and individuals with diverse social identities (Corporate Branding)*Provide company-wide employee and specialized management training on gender equality and diversity strategies, policies and codes of conduct (Training)",No,Leave Benefits,Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Apporach to Paid Parental Leave,Communication
113,112,"Does the company provide onsite health services or establish linkages with local health clinics and service providers for referral purposes that cover the specific health needs of women (including reproductive, maternal and newborn health)?",Benefits and professional development ,,ENV_HLTACC_F_2019,% of women that experience problems accessing health care,Establish an Employee Assistance Program (EAP) to support the mental and emotional health of female and male employees (Benefits),No,Healthcare,Practice,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Approach to Health Insurance Policies and Practices,Implementation
114,113,Does the company have clear criteria for rewards that are free of gender bias and link to the performance review process?,Benefits and professional development ,,WRK_ECBIAS_F_64,% of women that express economic gender bias (believe that men have more right to a job or make better business executives than women),Design and implement a fair and unbiased employee performance management and appraisal system and process (Performance Management)*Conduct salary gap analysis to determine if there are gender differences and adjust salaries to close identified gaps (Compensation) *Develop promotion processes to counteract bias in promotions (Promotion),No,Performance Review,Practice,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Approach to Performance Reviews Policies & Promotion Practices,Commitment
115,114,Does the company communicate its training program to all of its employees?,Benefits and professional development ,,,,Create training plan for each employee with a focus on exposure of women to other work areas and duties to achieve skill parity (Training),No,"Training,Professional Development",Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Approach to Promote Women's Professional Developmanet and Training,Communication
116,115,"Does the company collect, analyze and monitor sex-disaggregated data on the percentage of employees participating in these programs, at least annually?",Benefits and professional development ,,,,Collect and analyze sex-disaggregated data at the company level and use the data to regularly monitor progress of gender equity interventions (Company Performance) ,No,Training,Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Approach to Promote Women's Professional Developmanet and Training,Measurement
117,116,Does the company actively address deï¬ciencies?,Benefits and professional development ,,,,"Conduct equity and impact analysis of benefits, including usage/uptake of benefits (Benefits)*Dedicate budget and track use of financial resources to increase gender equality and diversity (Company Performance)*Review and revise all company policies to support gender equality, diversity, and inclusion goals (Policies)",No,Healthcare,Practice,"Yes/no response contributing to sub-parameter score
",,,
118,117,Does the company ask managers to justify their decisions on personal budget allocation?,Benefits and professional development ,,WRK_ECBIAS_F_64,% of women that express economic gender bias (believe that men have more right to a job or make better business executives than women),Design and implement a fair and unbiased employee performance management and appraisal system and process (Performance Management)*Develop promotion processes to counteract bias in promotions (Promotion),No,"Promotion,Performance Review",Practice,"Yes/no response contributing to sub-parameter score
",Benefits & Professional Development,Approach to Performance Reviews Policies & Promotion Practices,Commitment
