,company,company_rating,title,content,author,year
282,"RSM US LLP
",4,diversity_review,"[""embodies a respective environment that allows employees to gain knowledge on certain aspects of our firm's diversity, green and philanthropic practices in order to better serve ourselves, our peers and our clients""]",Mid-level in TaxMcLean,['2019']
283,"RSM US LLP
",4,diversity_review,"['Strong investment in diversity initiatives - work is still needed, but the importance is recognized and efforts are being made. Diversity is currently strongest at the new hire/lower levels.']",Experienced in TaxNew York,['2019']
284,"RSM US LLP
",4,diversity_review,"['RSM places a huge emphasis on Culture, Diversity and Inclusion, and that is a message from the top down, and all around.', 'Regarding community involvement, we have a national volunteer day, and some local employees will provide community engagement opportunities, periodically. We also host an annual fundraiser to give back to a local charitable organization.']",Mid-level in TaxOrlando,['2019']
285,"RSM US LLP
",4,diversity_review,"['Best - many programs for CDI available that all can join (regardless of if ""fits"" the group\'s demographic)', 'Worst - None noted']",Experienced in External AuditOther2019VERIFIED EMPLOYEE,Nan
286,"RSM US LLP
",4,diversity_review,"['The best aspect is that our firm has groups to include people from all sorts of backgrounds - we have a woman in business group, an intercultural group, several ethnic groups, and an LGBT group. I wouldn\'t say we have a ""worst"" aspect.']",Mid-level in Audit & AssuranceSouth Bend,['2019']
287,"RSM US LLP
",4,diversity_review,"['Best aspect, the firm really try to do their part on all of these community engagement activities.', 'Worst aspect, it cuts into our billable hours.']",Mid-level in TaxCharlotte,['2019']
288,"RSM US LLP
",4,diversity_review,['Nothing to comment in this area. The Company is on the right track with CDI initiatives'],Other in Audit & AssuranceOther2019VERIFIED EMPLOYEE,Nan
289,"RSM US LLP
",4,diversity_review,['No opinion'],Experienced in TaxHouston,['2019']
290,"RSM US LLP
",4,diversity_review,"['Best: Birdies for love is an excellent program to support philanthropy programs and charitable giving', 'Worst: N/A']",Mid-level in Audit & AssuranceKansas City,['2019']
291,"RSM US LLP
",4,diversity_review,['I feel that RSM spends a lot of time and money of CDI. I believe that sometimes the fact that I am a white person gets overlooked because I am NOT part of any minority.'],Chicago,['2019']
292,"RSM US LLP
",4,diversity_review,"['As a participating member in RSM Culture, Diversity, and Inclusion program']",Mid-level in ConsultingFalls Church,['2019']
293,"RSM US LLP
",4,diversity_review,"[""we have very few racial minorities, but i think it's driven by the pool of applicants (not many of them apply).""]",Denver,['2019']
294,"RSM US LLP
",4,diversity_review,['No specific comments other than to say that several initiatives have been rolled out over the past several years to encourage internal networking and to raise awareness'],Experienced in Audit & AssuranceOther2019VERIFIED EMPLOYEE,Nan
295,"RSM US LLP
",4,diversity_review,['RSM creates a very open and diverse work environment.'],Mid-level in Audit & AssuranceOther2019VERIFIED EMPLOYEE,Nan
296,"RSM US LLP
",4,diversity_review,['We hire very diverse even in a small community so I am very pleased with that. We also highly encourage community involvement.'],Experienced in TaxWilmington,['2019']
297,"RSM US LLP
",4,diversity_review,['The firm does a great job living by its values and not just saying it does.'],Experienced in Audit & AssuranceOmaha,['2019']
298,"RSM US LLP
",4,diversity_review,"[""The firm does a great job with respect to diversity and philanthropic endeavors. The CDI (culture, diversity, inclusion) groups are very active and have high participation. The Birdies Fore Love program and other philanthropic endeavors are very well run and raise a lot of money for charity. I think the firm recognizes the importance of promoting women and has initiated steps to focus on this however it's going to take time to see the results.""]",Other2019VERIFIED EMPLOYEE,Nan
299,"RSM US LLP
",4,diversity_review,"[""RSM is very supportive of diversifying it's base and supports all levels of diversity. There are also several programs in place that promote and encourage people to volunteer and pursue their passions when it comes to philanthropic activities.""]",Experienced in TaxSaint Louis,['2019']
300,"RSM US LLP
",4,diversity_review,['The firm allows us to join any number of diversity groups.'],Experienced in TaxSan Diego,['2019']
301,"RSM US LLP
",4,diversity_review,"['Our Firm has made an intentional effort to get better in this area.', ""I sometimes think that we promote those within the firm's diversity a little earlier in the process.""]",Experienced in Audit & AssuranceOther2019VERIFIED EMPLOYEE,Nan
302,"RSM US LLP
",4,diversity_review,['Annual volunteer day and Birdies for Love campaigns are very effective.'],Other2019VERIFIED EMPLOYEE,Nan
303,"RSM US LLP
",4,diversity_review,['employee networks group encouraging all of these diversity areas'],Chicago,['2019']
304,"RSM US LLP
",4,diversity_review,"['Overall, our firm is very focused on a diverse workforce. We hire and promote based on performance rather than gender, race or sexual orientation.']",Experienced in TaxPhoenix,['2019']
305,"RSM US LLP
",4,diversity_review,"[""There appears to be no difference in treatment for men and women. There also does not appear to be a difference in treatment for any other minorities but (due to being minorities) there are fewer of them in the workplace so they are hired less frequently. That isn't a criticism since, due to the definition of the word, the number of people qualifying as a minority is much lower than the others (white or white male) and a fair hiring, promotion and mentoring would treat all individuals equally.""]",Davenport,['2019']
306,"RSM US LLP
",4,diversity_review,['Firm is very focused on CSR initiatives through local programs and groups within the office for all sorts of diversities'],Experienced in Audit & AssuranceBoston,['2019']
307,"RSM US LLP
",4,diversity_review,"['We have employee networking groups are are open for all employees to join. This helps with diversity in terms of race, gender, orientation, working parents, disabilities, etc. When each employee starts, everyone is introduced to these groups and is encouraged to join as many as desired/ to go to meetings for any group that you may be interested in. RSM also has volunteer days and several volunteer events available throughout the year that all employees are encouraged to attend as well.']",Mid-level in Audit & AssuranceChicago,['2019']
308,"RSM US LLP
",4,diversity_review,"['Strongly promotes culture and diversity by offering many employee networking groups and hosting celebration days for each of these network groups. Firm hosts the RSM Classic promotes contributions to the ""Birdies for Love"" foundation through firm wide events.']",Experienced in TaxChicago,['2019']
309,"RSM US LLP
",4,diversity_review,"[""Best - Firm has several Culture Diversity and Inclusion (CDI) groups that employees can join, and we have leaders in the Firm who are dedicated to CDI efforts. Every quarterly all-hands meeting/webinar held by the Firm touches on CDI efforts, which demonstrates the Firm's commitment to the initiative. In addition, the Firm has several National and Local philanthropic initiatives, including Birdies Fore Love (National) and VeloSano (Local)."", ""Worst - While we are diverse, particularly from a National view, our local office could use more diversity as it relates to racial minorities. In addition, consistent with many public accounting firms, women are not as well represented in the Partner group, in Firm leadership, and on the Firm's Board. However, the Firm has implemented many women's leadership programs to help address this in year's to come.""]",Experienced in Audit & AssuranceCleveland,['2019']
310,"RSM US LLP
",4,diversity_review,"[""Way overblown. It's pretty basic....treat each person as a valuable individual regardless of the list above. Eventually the discrimination becomes against the individuals that don't fall in one of the mentioned groups. Really upside down.""]",Mid-level in Information TechnologyDes Moines,['2019']
311,"RSM US LLP
",4,diversity_review,"[""The firm as a whole promotes diversity everywhere. However, in my opinion, the items you just named above and the question indicate the everyone is so ****ing focused on diversity that now the common practice is reverse racism and discrimination against someone who is white male and perceived to have all the advantages in life. I think all of these diversity investments are worthless and driven by outspoken social media critics who spread falsehoods and make up stories. Let's stop calling everything in America racism and discrimination when something occurs. Life is tough, life is unfair, always putting the blame on someone else is going to be downfall of America and society as individuals fail to take accountability for there own actions and constantly blame others.""]",Dallas,['2019']
312,"RSM US LLP
",4,diversity_review,['5 year old CDI initiative that is maturing.'],Charlotte,['2019']
313,"RSM US LLP
",4,diversity_review,"['Best - invest a lot in programs', 'Worst - still not getting results']",Executive in External AuditMinneapolis,['2019']
314,"RSM US LLP
",4,diversity_review,"['The firm supports and hosts many culture/diversity groups such as InspirAsian (Asian cultural group), Pride (LGBT group), and STAR Women. I feel the firm could be more diverse, but they are making efforts to hire more diverse classes.']",Mid-level in Audit & AssuranceMcLean,['2019']
315,"RSM US LLP
",4,diversity_review,['Too much notifications and social forced exposure. Can we achieve this without constant notification?'],Experienced in Audit & AssuranceOther2019VERIFIED EMPLOYEE,Nan
316,"RSM US LLP
",4,diversity_review,['I think the firm spends far more time on LGBT than any other group and it is unfair.'],Entry-level in TaxBirmingham,['2019']
317,"RSM US LLP
",4,diversity_review,"['We have cultural groups you can join. The staff lead these groups and it is all voluntary, yet supported nationally. We have a volunteer day, which is a paid day, to go out and help a charitable organization. I think this is a very good program.']",Experienced in TaxOther2019VERIFIED EMPLOYEE,Nan
318,"RSM US LLP
",4,diversity_review,"['RSM has many key initiatives the grow and foster diversity within the workplace. However, at no fault of RSM, the accounting profession and various locations across the country can make it difficult to achieve those goals. On a national and local level we are very generous and philanthropic in practice.']",Experienced in TaxIndianapolis,['2019']
319,"RSM US LLP
",4,diversity_review,['It all appears fair and have never experience any issues in the work place.'],Minneapolis,['2019']
320,"RSM US LLP
",4,diversity_review,"['We have a formal program designed to engage, retain, and promote women.']",Davenport,['2019']
321,"RSM US LLP
",4,diversity_review,['Interesting that age is not considered part of the diversity'],Experienced in Tax2019VERIFIED EMPLOYEE,Nan
322,"RSM US LLP
",4,diversity_review,"['Great initiative and progress in the past few years, but program is still not mature']",Executive in Advisory ServicesLos Angeles,['2019']
323,"RSM US LLP
",4,diversity_review,"['Our office has many events exposing employees to other races & cultures, which supports diversity.']",Orlando,['2019']
324,"RSM US LLP
",4,diversity_review,"['I think the firm puts a strong emphasis on diversity.', 'I believe there is age discrimination, but it is getting somewhat better.']",New York,['2019']
325,"RSM US LLP
",4,diversity_review,"[""Our firm does a great job of focusing on stewardship as it's one of our pillars. We run an annual campaign to give back to our communities and I love that we give back to local charities in our communities because it re-emphasizes our focus on the middle market. We do a great job of creating giving campaigns for causes that are important to us, like scholarship, health, and military veterans. We also do a great job of focusing on diversity within the firm - having special recruiters focused specifically on that really helps!"", 'I think the only thing is that our leadership is still very much so white-male dominated. While we have diversity at almost every level below, it is taking a lot longer than it should to break that final barrier.']",Atlanta,['2019']
326,"RSM US LLP
",4,diversity_review,"[""I think the firm has done a great job in creating STAR and working to attract and retain women. There is still work to be done, but it's slowly getting better. With the other CDI groups, there is more attention to the minorities and LGBT individuals as well as other groups within the firm, but when I walk around various offices, I still am not openly seeing a lot of diversity. There is still work to be done to attract various people to accounting and to the firm.""]",Experienced in Audit & AssuranceOther2019VERIFIED EMPLOYEE,Nan
327,"RSM US LLP
",4,diversity_review,"['Our firm is promoting diversity efforts through CDI groups, however from a physical office perspective, not all racial minorities may be represented.']",Mid-level in ConsultingLas Vegas,['2019']
328,"RSM US LLP
",4,diversity_review,['The firm really encourages giving back to the community and engage all employees to participate. There are specific groups that address diversity in all aspects and encourages participation in the groups that are meaningful to each employee.'],Experienced in Audit & AssuranceOther2019VERIFIED EMPLOYEE,Nan
329,"RSM US LLP
",4,diversity_review,['overall good - specific people may not follow it.'],Mid-level in ConsultingSan Diego,['2019']
330,"RSM US LLP
",4,diversity_review,['We still have very few women at the top in consulting. This is very obvious and continues to be obvious. There is no path for a women in consulting.'],Davenport,['2019']
331,"RSM US LLP
",4,diversity_review,"['Philanthropic opportunities are limited to the ""firm"" program which', ""1). Doesn't support the areas that I prefer to direct my philanthropic efforts to"", ""2). They're missing out on participating with other programs e.g. The Big Give which allow me to leverage my giving into a larger net give e.g. matching $'s. Do to this I funnel my money through other forums that allow me to leverage my spend""]",Seattle,['2019']
332,"RSM US LLP
",4,diversity_review,['We could use more racial diversity. There is a huge focus on LGBT and a lot of leadership representation. The firm also gives gives gives to the point where it is annoying to the employees who are given constant updates and pushed to participate.'],Experienced in ConsultingTampa,['2019']
333,"RSM US LLP
",4,diversity_review,['RSM does a great job with showing respect to women and working on breaking down all barriers for women in the work place.'],Mid-level in TaxMinneapolis,['2019']
334,"RSM US LLP
",4,diversity_review,"['The Firm has a LGBT CDI (culture, diversity and inclusion) program to recognize and include all people.', 'There are a small number of racial minorities in our office.']",Experienced in Audit & AssuranceGreensboro,['2019']
335,"RSM US LLP
",4,diversity_review,"['The firm has highly involved groups for both Women and LGBT individuals. Our firm also sponsors many local initiatives and events and encourages employees to get involved. There seems to be minimal effort to hire racial minorities, which I do not believe is intentional.']",Mid-level in Audit & AssuranceCleveland,['2019']
336,"RSM US LLP
",4,diversity_review,"[""Best- we have an amazing Culture, Diversity and Inclusion Program. Worst- there are still some leaders who haven't embraced the diverisity inititative.""]",Experienced in ConsultingOther2019VERIFIED EMPLOYEE,Nan
337,"RSM US LLP
",4,diversity_review,['We are very philanthropic and the firm gives you many opportunities to participate in firm sponsored philanthropic efforts as well as supporting you to do outside ventures. Would love to see more women in higher positions.'],Experienced in TaxBoston,['2019']
338,"RSM US LLP
",4,diversity_review,['Local charity budgets seem to be very limited. Have been denied for several requests for community fundraisers in the past few years. Would like to have more of a presence in the community.'],Mid-level in Audit & AssuranceDubuque,['2019']
339,"RSM US LLP
",4,diversity_review,"['While our firm seems focused on diversity efforts in hiring, there needs to be a more focused effort by our partners on promotion and mentoring of women, minorities and LGBT individuals.']",McLean,['2019']
340,"RSM US LLP
",4,diversity_review,['The firm is overall very philanthropic but not very diverse.'],Mid-level in TaxNew York,['2019']
341,"RSM US LLP
",4,diversity_review,"['There are many women hired at entry-level, however few remain at the firm to become more experienced. The firm has done well with hiring and promoting racial minorities. Additionally, the firm make a conscious effort to promote diversity, philanthropy, and sustainability.']",New York,['2019']
342,"RSM US LLP
",4,diversity_review,"['Diversity is a common topic and the firm has clearly pushed this locally and nationally, however there is a lot of area to make up for and improve upon as the office continues to not be overly diverse.', 'CSR initiatives which primarily consist of birdies for love is a good program, although the donation process has gotten far to aggressive, particularly this past summer. Staff continued to feel pressure to donate to the charity for many different events and the volume of emails asking for, or reminding of donation opportunities is a bit much.']",Minneapolis,['2019']
343,"RSM US LLP
",4,diversity_review,"[""I think the firm does a great job in using its eleven Employee Network Groups as a way to foster increase awareness in Culture, Diversity and Inclusion. Groups like Family First, Hola, and Star (womens group) are very well established and prominent across the firm. My perspective is that even though these groups exist to provide mentorship and resources, for women in particular, this is simply not enough to overcome diversity issues. As a working parent, I feel as though I cannot work as many hours and be on-the-clock-around-the-clock as my male and single peers. And since many Partners are male and have wives that stay at home with their kids, there's a gap in understanding the role that you play at home and at work when you are juggling both but competing in a career with people (or working for people) that can dedicate all their time to work based on their life circumstances.""]",Chicago,['2019']
344,"RSM US LLP
",4,diversity_review,['no comments'],Experienced in Audit & AssuranceChicago,['2019']
345,"RSM US LLP
",4,diversity_review,"['I feel that our firm tends to be very uniform in terms of race. However, there is a good gender spread']",Mid-level in TaxNew York,['2019']
346,"RSM US LLP
",4,diversity_review,"[""Non Management positions there is diversity. There is very little diversity in upper Management and Partner levels. At the partner level it is mostly white males in their 50's and 60's.""]",Austin,['2019']
347,"RSM US LLP
",4,diversity_review,"['Not a lot of diversity racially and LGBT, but may be due to my location as well.']",Denver,['2019']
348,"RSM US LLP
",4,diversity_review,"['RSM does well in terms of philanthropic practices as they constantly have food drives, donation pools, community service events, and other programs. However, while efforts are present regarding increasing diversity in the workplace among minorities and LGBT, there is still significant progress that could be made.']",Madison,['2019']
349,"RSM US LLP
",4,diversity_review,"['We do a great job of hiring a diverse workforce, I think we need to be better about retaining a diverse workforce. It seems like a lot of women/minorities leave before advancing to partner level.']",Mid-level in Tax2019VERIFIED EMPLOYEE,Nan
350,"RSM US LLP
",4,diversity_review,['please see Alissa Reichert'],Chicago,['2019']
351,"RSM US LLP
",4,diversity_review,"['RSM does a lot of community volunteering, including habitat for humanity builds, cleaning up schools, etc.']",Minneapolis,['2019']
352,"RSM US LLP
",4,diversity_review,"['The firm, especially this office, seems to have made the decision that we are a cultural diversity firm that occasionally does public accounting work. It can be extremely distracting and demotivating.']",Experienced in TaxHouston,['2019']
353,"RSM US LLP
",4,diversity_review,"[""RSM is the sponsor of the Phoenix Children's Hospital 5k.""]",Mid-level in TaxPhoenix,['2019']
354,"RSM US LLP
",4,diversity_review,"[""We definitely try to hire diversely, but it doesn't always work based on the applicant pool. Retaining working mothers seems to be difficult - not everyone seems to be very understanding of parental needs which is why women don't often last in the industry""]",Philadelphia,['2019']
355,"RSM US LLP
",4,diversity_review,"['No one recycles. No idea how this office claims to be ""green."" Respect is given to women. But I would like to see a better effort to get more ECONOMICALLY OPPRESSED minorities into leadership positions. Starting positions too.']",Mid-level in TaxPhiladelphia,['2019']
356,"RSM US LLP
",4,diversity_review,['Leadership is still heavily white men'],Washington,['2019']
357,"RSM US LLP
",4,diversity_review,"[""Firm's Culture, Diversity and Inclusion (CDI) initiative is five years old but they have done tremendously well. Lot of ground to cover, but made huge progress in last five years.""]",Experienced in Audit & AssuranceMcLean,['2019']
358,"RSM US LLP
",4,diversity_review,"['I think it varies by office. There is definitely a push at the highest level to increase diversity, but each city is very different. There are still not many women or minorities in leadership positions although it is changing. Everyone is respectful, just limited diversity in certain offices.']",Executive in Project ManagementPhiladelphia,['2019']
359,"RSM US LLP
",4,diversity_review,"['The firm has grown much more diverse over the years due to offices opening in new markets or acquisitions. The particular location I work in is much more diverse with respect to women in all levels, but our area of the country does not have much diversity with respect to race. We do have new diversity initiative programs available throughout the firm and also support active military and veteran employees.']",Experienced in Audit & AssuranceDavenport,['2019']
360,"RSM US LLP
",4,diversity_review,"['There are only meaningful strides towards diversity in coastal offices, where geographically there is more diversity.']",Minneapolis,['2019']
361,"RSM US LLP
",4,diversity_review,"['Lack of women, minorities and LGBT individuals in National leadership roles (and relatively few in local leadership roles as well). There tends to be a high number of women that are higher placed at Senior Director roles, or they leave to make Partner elsewhere because of the lack of opportunities provided and/or clear and effective coaching.']",McLean,['2019']
362,"RSM US LLP
",4,diversity_review,"['There is a lot of focus on diversity, but results are deceptive.']",Executive in External AuditRichmond,['2019']
363,"RSM US LLP
",4,diversity_review,"['Our firm does extremely well at hiring a diverse group of associates from college. Our firm needs to continue to work on mentoring and promoting this diverse group, as we have very few women, racial minorities, or LGBT individuals in leadership positions.']",Experienced in TaxBaltimore,['2019']
364,"RSM US LLP
",4,diversity_review,"['My responses are specific to my office location. Firm wide, I think my company is better with diversity efforts.']",Birmingham,['2019']
365,"RSM US LLP
",4,diversity_review,"[""The firm's diversity and philanthropic practices are something to truly be proud of. Diversity is valued and inclusive groups are always available. The firm is passionate about its philanthropic activities and encourages volunteer and giving opportunities through various programs including company matching. The firm has room to improve on its green initiative.""]",Experienced in TaxWashington,['2018']
366,"RSM US LLP
",4,diversity_review,"[""The firm has created a cultural diversity and inclusion program to help drive diversity and inclusion within the workplace. In addition, the firm has various philanthropic opportunities through volunteering at a local nonprofit to fundraising for nonprofits. I do not have any negative comments on the firm's diversity, green and philanthropic practices.""]",Experienced in TaxSeattle,['2018']
367,"RSM US LLP
",4,diversity_review,"[""It's too much really. They keep trying to strong arm us into joining these cultural diversity initiative groups even if we do not fit into any of them. Also, they are trying to force us to volunteer/donate as well even if we don't have the means to do so.""]",Experienced in TaxBaltimore,['2018']
368,"RSM US LLP
",4,diversity_review,['The firms charitable foundation supports various causes with an emphasis on disadvantaged children and gives us a voice in selecting those causes.'],Experienced in TaxHouston,['2018']
369,"RSM US LLP
",4,diversity_review,['We have several cultural and diversity programs that are fully supported by firm leadership.'],Experienced in Audit & AssuranceDenver,['2018']
370,"RSM US LLP
",4,diversity_review,['Best - The firm has a philanthropic committee which plans events for various causes throughout the year.'],Experienced in Audit & AssuranceNew York,['2018']
371,"RSM US LLP
",4,diversity_review,"[""The Firm has a foundation for charitable giving, and has a CDI initiative to encourage diversity. Both are valuable, however, it is not right for the Firm to have an expectation that employees contribute to Firm selected charities and the CDI program would have more success if there was visible partner participation at the ground level. It's disingenuous of partners to encourage it, but not participate.""]",Experienced in Audit & AssuranceChicago,['2018']
372,"RSM US LLP
",4,diversity_review,"[""I'm a veteran and registered disabled person and to get disabilities addressed with needs is impossible. When you need something its considered a perk so in the end you don't ask.""]",Omaha,['2018']
373,"RSM US LLP
",4,diversity_review,"['No opinion, I work too much to be involved in the aspects of the firm.']",Experienced in External AuditChicago,['2018']
374,"RSM US LLP
",4,diversity_review,['The firm donates to charities that we volunteer for.'],Experienced in TaxOther2018VERIFIED EMPLOYEE,Nan
375,"RSM US LLP
",4,diversity_review,['overall all positive with regards to all aspects. no negatives'],Mid-level in Audit & AssuranceOther2018VERIFIED EMPLOYEE,Nan
376,"RSM US LLP
",4,diversity_review,"['Retention of women has been difficult, firm is working on women specific events in order to build confidence in the workforce and discuss the upward opportunities that they want women for. Minorities have been hired consistently in the firm. The start classes out of college always include minorities and women.']",Chicago,['2018']
377,"RSM US LLP
",4,diversity_review,"['I feel like RSM continues to diversify and is open to all types of people. As a women, I have always felt supported at RSM.']",Experienced in Audit & AssuranceChicago,['2018']
378,"RSM US LLP
",4,diversity_review,['we offer a significant amount of CDI type groups (Culture Diversity Inclusion) and have periodic meetings where all are invited. I do not see others being held back or treated differently due to status.'],Dayton,['2018']
379,"RSM US LLP
",4,diversity_review,['Too much philanthropy if that’s possible. Every day is another request for a donation.'],Executive in External AuditNew York,['2018']
380,"RSM US LLP
",4,diversity_review,['Our firm makes efforts to include everyone. We have groups set up that anyone can join. This helps people feel empowered and helps them know the firm is interested in their ideas or problems.'],Experienced in TaxGreensboro,['2018']
381,"RSM US LLP
",4,diversity_review,['Our firm actually has functions that the intent is to make us all aware.'],Experienced in TaxCedar Rapids,['2018']
382,"RSM US LLP
",4,diversity_review,"[""RSM does this wonderful philanthropic event called Birdies Fore Love. RSM Foundation teams up with the PGA and the Davis Love Foundation to host a golf tournament. Leading up to this there is a huge competition between each office in the U.S. to fundraise for charity. This year we raised more than $2 million. It's great because it gets every single employee involved which is extremely challenging to do with a firm of this size.""]",Irvine,['2018']
383,"RSM US LLP
",4,diversity_review,['.We have diversity groups and focus on charity a lot'],Experienced in Audit & AssurancePhiladelphia,['2018']
384,"RSM US LLP
",4,diversity_review,"['Our firm tries very hard to CSR initiatives. I don\'t believe there are any ""bad"" aspects to the firms approach and I believe we are truly part of the communities that we work in.']",Experienced in Audit & AssuranceOther2018VERIFIED EMPLOYEE,Nan
385,"RSM US LLP
",4,diversity_review,"[""I don't care about these policies whatsoever""]",McLean,['2018']
386,"RSM US LLP
",4,diversity_review,['The firm has taken significant steps to develop an inclusive culture. The worst aspect is that the partner ranks are still predominantly old white guys.'],Experienced in TaxRaleigh,['2018']
387,"RSM US LLP
",4,diversity_review,"['Best- we have many ""cultural diversity inclusion"" groups which allow all members of the firm to be engaged; Birdies for love; Several local community service days; credit for hours spent in a community service org outside of work.']",Orlando,['2018']
388,"RSM US LLP
",4,diversity_review,"['RSM has culture, diversity and inclusion groups (such as military, family first, women, LGBT, etc). The firm has been developing these in recent years and I think they are on a good trajectory to building a strong diverse culture.']",Experienced in Audit & AssuranceDenver,['2018']
389,"RSM US LLP
",4,diversity_review,['Firm is very proactive in promoting diversity at all levels and all areas'],Executive in Audit & AssuranceMcLean,['2018']
390,"RSM US LLP
",4,diversity_review,"['Everyone has an opportunity to succeed if they have the right boss.', 'RSM Classic is awesome.']",Mid-level in Audit & AssuranceCharlotte,['2018']
391,"RSM US LLP
",4,diversity_review,['Very pro-active in all these areas - no negative aspects'],Experienced in Audit & AssuranceDallas,['2018']
392,"RSM US LLP
",4,diversity_review,['We have different RSM groups that put on events to educate employees on specific matters.'],Mid-level in Audit & AssuranceNew York,['2018']
393,"RSM US LLP
",4,diversity_review,"['As a tax senior associate, I was given the opportunity to help run our philanthropy program at a national level. This year, my second year leading, we raised over 2 million dollars for local charities across the nation. I am grateful they let people on the ground work side by side with the executive team and board of directors.']",Experienced in TaxChicago,['2018']
394,"RSM US LLP
",4,diversity_review,['There are numerous initiatives within the firm to unite individuals & promote such practices. Such initiatives are widely promoted & easy to participate in throughout the firm. I have no concerns in this area.'],Experienced in External AuditOther2018VERIFIED EMPLOYEE,Nan
395,"RSM US LLP
",4,diversity_review,['diversity is a big initiative and so is giving back'],Experienced in Audit & AssuranceOther2018VERIFIED EMPLOYEE,Nan
396,"RSM US LLP
",4,diversity_review,['Our office is very open to all individuals and I have seen no bias to any group of individuals.'],Mid-level in Audit & AssuranceMadison,['2018']
397,"RSM US LLP
",4,diversity_review,['Our office has a majority of women and they are treated equally to men. We also have a recycling program and community out reach/volunteer program. Most of the office participates in these programs and they add significantly to the positive atmosphere in the office.'],Mid-level in TaxWilmington,['2018']
398,"RSM US LLP
",4,diversity_review,"['The firm has several diversity programs run by all levels within the firm. They encourage participation in activities sponsored by these groups and discussion groups to build an understanding of the issues faced by minority groups, women, LGBT, military personnel, families, ect.', 'The firm has a foundation that sponsors events to raise awareness of local charities and national charities. They encourage participation and getting out within the community though volunteer days and employee payroll deductions to the charities of your choice.']",Experienced in Audit & AssuranceTacoma,['2018']
399,"RSM US LLP
",4,diversity_review,"['RSM has a tremendous diversity program and is receptive to all people regardless of age, sex, race, religion, gender, etc.']",Experienced in Audit & AssuranceLas Vegas,['2018']
400,"RSM US LLP
",4,diversity_review,"['The firm has diversity inclusion groups which all employees may join. Each group is involved in providing support and events for those from different backgrounds. The firm also has a strong internal networking platform that provides support for people from all backgrounds (ethnicity, sexual orientation, etc).']",Experienced in Audit & AssurancePhoenix,['2018']
401,"RSM US LLP
",4,diversity_review,['The firm takes these matters serious with no tolerance for disrespect to these groups. Further the firm has programs in place to promote these groups and philanthropic activities both nationally as well as at a local level within our offices community.'],Experienced in Audit & AssuranceDayton,['2018']
402,"RSM US LLP
",4,diversity_review,"['Volunteer day is great - everyone really is actively engaged. RSM also has established several groups to support LGBT, veterans, women, those with families, etc.']",Minneapolis,['2018']
403,"RSM US LLP
",4,diversity_review,['We have a diversity tax force. The firm is very philanthropic and encourages employees to donate time and money.'],Other2018VERIFIED EMPLOYEE,Nan
404,"RSM US LLP
",4,diversity_review,"['Our firm has a firm-wide Diversity and Culture program that is run at our national department. In addition we have a foundation, in which most of our employees give part of their salary to allow for donations to certain charities.']",Experienced in Audit & AssuranceBoston,['2018']
405,"RSM US LLP
",4,diversity_review,['Nothing bad to note. The firm offers many opportunities to get employees involved in groups to help promote diversity within the firm.'],Mid-level in Audit & AssuranceSpringfield,['2018']
406,"RSM US LLP
",4,diversity_review,"['With Birdies for Love, Breast Cancer Walks, etc. I feel that we have a very involved philanthropic environment at RSM. I have never seen or had any issues with diversity and do not think it has ever been an issue from my view in my department at RSM. I have always felt that we are good at welcoming on new members and try to have everyone involved in group events.']",Mid-level in TaxChicago,['2018']
407,"RSM US LLP
",4,diversity_review,['Our firm is open to diversity and encourages diversity. The firm is also revising policies related to being more green and conscious of our use of disposable products.'],Experienced in Audit & AssuranceOther2018VERIFIED EMPLOYEE,Nan
408,"RSM US LLP
",4,diversity_review,['The firm is very receptive to all lifestyles. All employees within the firm are very open and respectful of all people and beliefs. No down side in this regard.'],Columbus,['2018']
409,"RSM US LLP
",4,diversity_review,"['Best: Each group is celebrated, welcomed and discussed openly', ""Worst: Volunteer day is not something that is mandatory and several teams don't get to participate.""]",Experienced in Audit & AssuranceOrlando,['2018']
410,"RSM US LLP
",4,diversity_review,"[""Our local office is 65% female, we have representatives of minorities, LGBT and veterans. We have a national diversity group. I haven't seen a push to hire from diverse groups for the sake of being represented, but simply a desire to hire the best person for the position with no bias toward or against someone's race, etc."", 'Our office participates in various philanthropic endeavors - volunteering with Habitat for Humanity, Multiple Sclerosis fundraisers, serving at the local food kitchen, picking up trash along the highways, and city sponsored events. Would even like to do more.']",Experienced in TaxOther2018VERIFIED EMPLOYEE,Nan
411,"RSM US LLP
",4,diversity_review,"['I think the lack of minorities in my office is generally due to a lack of minorities both in my city and with a degree in accounting. Not many minorities in my town that would want to work here. Lots of women and multiple LGBT individuals at the firm.', ""I feel like our local office doesn't have the budget necessary to contribute to the community like it should. Nobody in our town really knows who we are because we don't get out there and volunteer or donate to local charities like we should. I've found opportunities for our office to donate to (like $200) and have been told no, that our budget was filled already.""]",Mid-level in Audit & AssuranceDubuque,['2018']
