Question_id,Vector,Parameter,Par,Survey_Question,Question_type,Response_type,score_value,Survey Category
160,Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Communication,"Does the company effectively communicate and raise awareness about its confidential complaints mechanisms, including whistleblower protection, among employees, suppliers, customers and community members as well as the general public? Is the complaints mechanism transparent, safe and accessible to everyone?",Dichotomous,Yes/No,,
161,Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Implementation,"Does the company provide annual training on zero tolerance of all forms of violence to all employees, including sexual harassment, and engaging in acts of sexual exploitation of women and girls while on business travel?",Dichotomous,Yes/No,,
162,Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Implementation,"Does the company have confidential grievance, resolution, and non-retaliation mechanisms in place which are open to employees, community members and the supply chain?",Dichotomous,Yes/No,,
163,Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Implementation,"Does the company have confidential grievance, resolution and non-retaliation mechanisms in place which are open to employees, community members and the supply chain?",Dichotomous,Yes/No,,
164,Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Implementation,Does the company provide confidential support for victims of GBV?,Dichotomous,Yes/No,,
165,Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Implementation,Does the company require gender-sensitive training for security personnel (including contracted staff) on procedures to respond to complaints of gender-based violence or harassment?,Dichotomous,Yes/No,,
166,Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Implementation,"Does the company have a process in place to monitor/ audit business travel and client entertain- ment expenses to detect inappropriate business expenses such as company funds being used to sexually exploit women and girls or adult ""entertainment"" involving nudity or lewd behavior?",Dichotomous,Yes/No,,
167,Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Implementation,"Does the company make sure its employees understand that the company does not approve of business travel and client entertainment related to the sexual exploitation of women and girls, including visits to strip clubs, redlight districts, and arrangements for transactional sex?",Dichotomous,Yes/No,,
168,Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Implementation,"Does the company’s policy for business partners (e.g., gifts & invitations policy) make explicit that invitations and gifts related to the sex industry are against the company’s policy?",Dichotomous,Yes/No,,
169,Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Implementation,Does the company have an investigation panel? ,Dichotomous,Yes/No,,
170,Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Implementation,"If so, is the investigation panel gender-balanced?",Filter,Yes/No/ Not Applicable,,
171,Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Implementation,Does the company develop a reporting procedure to confidentially report violent or inappropri- ate behavior?,Dichotomous,Yes/No,,
172,Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Implementation,Does the company implement mediation or other measures to follow through with concrete consequences for incidents that occur within the workplace?,Dichotomous,Yes/No,,
173,Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Implementation,Does the company develop training and awareness-raising activities around gender equality and gender-based violence?,Dichotomous,Yes/No,,
174,Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Implementation,Does the company implement monitoring and evaluating policies/actions/measures to tackle gender-based violence?,Dichotomous,Yes/No,,
175,Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Implementation,Is the company aware of the ILO Convention Ending Violence and Harassment in the World of Work?,Dichotomous,Yes/No,,
176,Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Implementation,Have actions been put into place with regard to the International ILO Convention Ending Violence and Harassment in the World of Work?,Dichotomous,Yes/No,,
177,Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Implementation,"For organizations that have any engagement with children, does the company have a child protection policy in place as well?",Filter,Yes/No/ Not Applicable,,
178,Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Implementation,Does the company develop ways of addressing gender-based violence outside of the organization in the surrounding community?,Dichotomous,Yes/No,,
179,Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Implementation,"Are specific clauses related to sexual harassment, GBV and sexual misconduct included in the company’s supplier code of conduct?",Dichotomous,Yes/No,,
180,Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Measurement,Does the company conduct a gender audit of all policies?,Dichotomous,Yes/No,,
181,Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Measurement,Does the company monitor and audit business travel and client entertainment expenses to detect and ensure no inappropriate behavior?,Dichotomous,Yes/No,,
182,Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Measurement,"Does the company periodically monitor and evaluate policies, actions and measures to tackle GBV?",Dichotomous,Yes/No,,
183,Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Measurement,Does the company monitor and evaluate all complaints and their specific gender dimension?,Dichotomous,Yes/No,,
184,Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Measurement,"Does the company measure the effectiveness of communication and training efforts, e.g., through surveys and diagnostics to assess employees’ awareness of the policy, their attitudes towards sexual misconduct and the extent to which they observe that the commitment is actually lived up to by company representatives and embedded in the company’s culture?",Dichotomous,Yes/No,,
185,Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Accountability and Transparency,"Does the company report its progress and target improvements (if any) to the Board of
Directors?",Dichotomous,Yes/No,,
186,Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Accountability and Transparency,"Does the company have any policy and complaint mechanism around whistleblowing and
subsequent retaliation to whistleblowers, and does it extend across the supply chain?",Dichotomous,Yes/No,,
187,Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Accountability and Transparency,"Does the company communicate publicly, or to relevant company stakeholders, the
company's approach to ensuring an environment free of violence?",Dichotomous,Yes/No,,
188,Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Accountability and Transparency,"Does the company communicate to the Board of Directors the company's approach to
ensuring an environment free of violence?",Dichotomous,Yes/No,,
189,Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Accountability and Transparency,"Does the company communicate its zero tolerance policy towards sexual misconduct in a
credible way, so that all stakeholders (including business partners and surrounding communities)
are made aware of it? Does the company develop policies and measures to support gender
equality in the workplace?",Dichotomous,Yes/No,,
190,Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Accountability and Transparency,"Does the company punish an employee who violates the Sexual Harassment Policy, including
business travel-related aspects and all other aspects mentioned above?",Dichotomous,Yes/No,,
191,Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Accountability and Transparency,"Does the company develop a network of external support organizations for victims and
survivors of gender-based violence (e.g., social services, counseling, police, etc.)?",Dichotomous,Yes/No,,
192,Safe and Healthy Workplace Environment,Approach to Occupational Health and Safety,Commitment,Does the company follow health and safety regulations and related requirements?,Dichotomous,Yes/No,,
193,Safe and Healthy Workplace Environment,Approach to Occupational Health and Safety,Commitment,"Does the company commit to following international standards or best practices beyond
compliance with national minimum requirements?",Dichotomous,Yes/No,,
194,Safe and Healthy Workplace Environment,Approach to Occupational Health and Safety,Communication,"Does the company provide gender-sensitive health talks on issues related to occupational
health and safety, including sexual and reproductive health and rights, and nutrition to
support health and a decent work environment?",Dichotomous,Yes/No,,
195,Safe and Healthy Workplace Environment,Approach to Occupational Health and Safety,Implementation,"Does the company ensure adequate and safe toilet facilities for women that accommodate
hygiene needs such as clean water and soap and disposal methods for feminine hygiene
products?",Dichotomous,Yes/No,,
196,Safe and Healthy Workplace Environment,Approach to Occupational Health and Safety,Implementation,"Does the company regularly check company grounds to ensure they are adequately lit and
secure?",Dichotomous,Yes/No,,
197,Safe and Healthy Workplace Environment,Approach to Occupational Health and Safety,Implementation,Does the company provide breastfeeding/pumping rooms that are clean and safe?,Dichotomous,Yes/No,,
198,Safe and Healthy Workplace Environment,Approach to Occupational Health and Safety,Implementation,"Does the company provide access to transportation to and from work and while on business
travel (including in environments where public transport is unsafe or unavailable)?",Dichotomous,Yes/No,,
199,Safe and Healthy Workplace Environment,Approach to Occupational Health and Safety,Implementation,"Does the company provide training to staff on ergonomics, exposure to hazardous materials,
and other occupational risks, taking into account the differential biological impacts of
health and safety on women and men?",Nominal,Yes/No/Not Applicable,,
200,Safe and Healthy Workplace Environment,Approach to Occupational Health and Safety,Implementation,"Does the company provide personal protective equipment for both men and women, especially
taking into consideration the needs of pregnant and nursing women?",Nominal,Yes/No/Not Applicable,,
201,Safe and Healthy Workplace Environment,Approach to Occupational Health and Safety,Implementation,"Does the company consult with men and women employees to determine if health, safety
and hygiene services and protections meet employee needs?",Nominal,Yes/No/Not Applicable,,
202,Safe and Healthy Workplace Environment,Approach to Occupational Health and Safety,Implementation,"Does the company adhere to adequate supervision and physical safety standards for
women in the workplace?",Dichotomous,Yes/No,,
203,Safe and Healthy Workplace Environment,Approach to Occupational Health and Safety,Implementation,Does the company have a smoke-free workplace policy?,Dichotomous,Yes/No,,
204,Safe and Healthy Workplace Environment,Approach to Occupational Health and Safety,Implementation,"Does the company offer equal access to occupational health services and healthcare for all
workers?",Dichotomous,Yes/No,,
205,Safe and Healthy Workplace Environment,Approach to Occupational Health and Safety,Implementation,"Is there an employee training for occupational health and safety standards and procedures
for all workers?",Dichotomous,Yes/No,,
206,Safe and Healthy Workplace Environment,Approach to Occupational Health and Safety,Implementation,"Has the company regularly promoted awareness of potential occupational risks to its
employees?",Dichotomous,Yes/No,,
207,Safe and Healthy Workplace Environment,Approach to Occupational Health and Safety,Implementation,"Has the company regularly promoted awareness of potential occupational risks to its
employees?",Dichotomous,Yes/No,,
208,Safe and Healthy Workplace Environment,Approach to Occupational Health and Safety,Implementation,"Does the company provide private and hygienic facilities for new mothers to be able to
breastfeed their babies or pump breastmilk at work?",Dichotomous,Yes/No,,
209,Safe and Healthy Workplace Environment,Approach to Occupational Health and Safety,Implementation,"Does the company have a policy to continuously assess risks regarding its adverse impact
on the health and well-being of employees, including their sexual and reproductive health
and rights as well as mitigation plans?",Dichotomous,Yes/No,,
210,Safe and Healthy Workplace Environment,Approach to Occupational Health and Safety,Implementation,"For organizations that have any engagement with children, does the company have a child
protection policy in place as well?",Dichotomous,Yes/No,,
211,Safe and Healthy Workplace Environment,Approach to Occupational Health and Safety,Implementation,"Does the company offer maternity protection to ensure no workplace hazards, including
chemical, biological and physical hazards (i.e., uses of pesticides, metals, dyes and solvents,
noise and vibration, radiation or infectious diseases) for pregnant and breastfeeding
women?",Dichotomous,Yes/No,,
212,Safe and Healthy Workplace Environment,Approach to Occupational Health and Safety,Implementation,"Does the company impose appropriate safety practices for women employees on business
travel such as traveling modes and choices of accommodations?",Dichotomous,Yes/No,,
213,Safe and Healthy Workplace Environment,Approach to Occupational Health and Safety,Implementation,"Does the company ensure employees have access to secure transportation to and from the
workplace?",Dichotomous,Yes/No,,
214,Safe and Healthy Workplace Environment,Approach to Occupational Health and Safety,Implementation,"Does the company encourage collective organizing and support networks? This could
include peer networks among women employees promoting peer-to-peer support and
distribution of key information around sexual and reproductive rights, helping women to
build solidarity networks and collectively articulate their priorities and needs.",Dichotomous,Yes/No,,
215,Safe and Healthy Workplace Environment,Approach to Occupational Health and Safety,Measurement,"Has the company developed occupational health and safety indicators (e.g., number of
occupational injuries and diseases, and the number of workers involved and workdays
lost)?",Dichotomous,Yes/No,,
216,Safe and Healthy Workplace Environment,Approach to Occupational Health and Safety,Measurement,"Does the company track health and safety incidents, disaggregated by sex?",Dichotomous,Yes/No,,
217,Safe and Healthy Workplace Environment,Approach to Occupational Health and Safety,Measurement,"Does the company regularly conduct health and safety audits, including independent ones,
in an effort to prevent incidents, etc.?",Dichotomous,Yes/No,,
218,Safe and Healthy Workplace Environment,Approach to Occupational Health and Safety,Accountability and Transparency,"Does the company involve women in decision making on its employees’ occupational
health and safety?",Dichotomous,Yes/No,,
219,Safe and Healthy Workplace Environment,Approach to Occupational Health and Safety,Accountability and Transparency,"Does the company report its progress and target improvements (if any) to the Board of
Directors?",Dichotomous,Yes/No,,
220,Safe and Healthy Workplace Environment,Approach to Occupational Health and Safety,Accountability and Transparency,"Does the company report publicly to its stakeholders any health and safety incidents,
disaggregated by sex?",Dichotomous,Yes/No,,
221,Safe and Healthy Workplace Environment,Approach to Occupational Health and Safety,Accountability and Transparency,"Does the company report to the Board of Directors health and safety incidents, disaggre-
gated by sex?",Dichotomous,Yes/No,,
222,Safe and Healthy Workplace Environment,Approach to Occupational Health and Safety,Accountability and Transparency,"Has the company designated an occupational safety officer or its equivalent to oversee the
operations of the company?",Dichotomous,Yes/No,,
223,Safe and Healthy Workplace Environment,Approach to Promote Gender Equality and Women’s Empowerment,Commitment,"Does the company have diversity and inclusion initiatives, including policies and specific
targets?",Dichotomous,Yes/No,,
224,Safe and Healthy Workplace Environment,Approach to Promote Gender Equality and Women’s Empowerment,Commitment,"Has the company released a public written statement or commitment outlining the company’s
commitment to gender equality and women’s empowerment (e.g., WEPs CEO Statement of
Support)?",Dichotomous,Yes/No,,
225,Safe and Healthy Workplace Environment,Approach to Promote Gender Equality and Women’s Empowerment,Commitment,"Has the company circulated an internal communication(s) and/or informal acknowledgment of
the relevance of gender equality and women’s empowerment?",Dichotomous,Yes/No,,
226,Safe and Healthy Workplace Environment,Approach to Promote Gender Equality and Women’s Empowerment,Communication,"Does the company communicate its commitment to build a diverse and inclusive culture to
all employees and notify employees of any changes?",Dichotomous,Yes/No,,
227,Safe and Healthy Workplace Environment,Approach to Promote Gender Equality and Women’s Empowerment,Communication,Does the company share gender metrics with their employees?117,Dichotomous,Yes/No,,
228,Safe and Healthy Workplace Environment,Approach to Promote Gender Equality and Women’s Empowerment,Communication,"Does the company provide a channel for employees to give feedback on diversity and inclusion
related issues in the workplace?",Dichotomous,Yes/No,,
229,Safe and Healthy Workplace Environment,Approach to Promote Gender Equality and Women’s Empowerment,Implementation,"Does the company have an organization-wide gender equality strategy that identifies
specific priority areas where further improvement can be made?",Dichotomous,Yes/No,,
230,Safe and Healthy Workplace Environment,Approach to Promote Gender Equality and Women’s Empowerment,Implementation,Does the company have a policy on diversity and inclusion in place?,Dichotomous,Yes/No,,
231,Safe and Healthy Workplace Environment,Approach to Promote Gender Equality and Women’s Empowerment,Implementation,"Does the company have specific diversity and inclusion targets in place (e.g., for internal
positions across hierarchy levels as well as along the value chain: customers/business
segments, suppliers, etc.)",Dichotomous,Yes/No,,
232,Safe and Healthy Workplace Environment,Approach to Promote Gender Equality and Women’s Empowerment,Implementation,"Does the company have an organization-wide gender equality strategy that includes a business
case or rationale for investment in gender equality?",Dichotomous,Yes/No,,
233,Safe and Healthy Workplace Environment,Approach to Promote Gender Equality and Women’s Empowerment,Implementation,"Does the company have an organization-wide gender equality strategy that articulates the
link between gender equality and other areas of corporate sustainability and business
performance?",Dichotomous,Yes/No,,
234,Safe and Healthy Workplace Environment,Approach to Promote Gender Equality and Women’s Empowerment,Implementation,"Does the company have an organization-wide gender equality strategy that was developed
in consultation with employees?",Dichotomous,Yes/No,,
235,Safe and Healthy Workplace Environment,Approach to Promote Gender Equality and Women’s Empowerment,Implementation,"Does the company have an organization-wide gender equality strategy that was developed
in consultation with external stakeholders?",Dichotomous,Yes/No,,
236,Safe and Healthy Workplace Environment,Approach to Promote Gender Equality and Women’s Empowerment,Implementation,"Does the company have an organization-wide gender equality strategy this is communicated to
all employees?",Dichotomous,Yes/No,,
237,Safe and Healthy Workplace Environment,Approach to Promote Gender Equality and Women’s Empowerment,Implementation,"Does the company advocate for gender equality and women's empowerment and promote
this commitment in public forums?",Dichotomous,Yes/No,,
238,Safe and Healthy Workplace Environment,Approach to Promote Gender Equality and Women’s Empowerment,Implementation,Is there a program to promote the role model for women employees in the company?,Dichotomous,Yes/No,,
239,Safe and Healthy Workplace Environment,Approach to Promote Gender Equality and Women’s Empowerment,Implementation,"Does the company create support groups or networks for women employees and effective-
ly engage men on issues of masculinity and gender equality?",Dichotomous,Yes/No,,
240,Safe and Healthy Workplace Environment,Approach to Promote Gender Equality and Women’s Empowerment,Implementation,"Does the company engage in gender diversity awareness campaigns or initiatives in the
community?",Dichotomous,Yes/No,,
241,Safe and Healthy Workplace Environment,Approach to Promote Gender Equality and Women’s Empowerment,Implementation,Does the company provide onsite childcare services or similar childcare support?,Dichotomous,Yes/No,,
242,Safe and Healthy Workplace Environment,Approach to Promote Gender Equality and Women’s Empowerment,Implementation,Does the company promote a flexible schedule and work environment?,Dichotomous,Yes/No,,
243,Safe and Healthy Workplace Environment,Approach to Promote Gender Equality and Women’s Empowerment,Implementation,Does the company promote inclusivity to all levels of its management?,Dichotomous,Yes/No,,
244,Safe and Healthy Workplace Environment,Approach to Promote Gender Equality and Women’s Empowerment,Implementation,"Does the company rotate office duty to ensure that those shared duties are not assigned to
only women?",Dichotomous,Yes/No,,
245,Safe and Healthy Workplace Environment,Approach to Promote Gender Equality and Women’s Empowerment,Implementation,"Is the company aware of the Convention on the Elimination of All Forms of Discrimination
Against Women?",Dichotomous,Yes/No,,
246,Safe and Healthy Workplace Environment,Approach to Promote Gender Equality and Women’s Empowerment,Implementation,Does the company include diversity and inclusion in performance conversations?,Dichotomous,Yes/No,,
247,Safe and Healthy Workplace Environment,Approach to Promote Gender Equality and Women’s Empowerment,Implementation,Does the company conduct an inclusion training program for its employees?119,Dichotomous,Yes/No,,
248,Safe and Healthy Workplace Environment,Approach to Promote Gender Equality and Women’s Empowerment,Measurement,"Does the company have time-bound, measurable goals and targets in their strategy?",Dichotomous,Yes/No,,
249,Safe and Healthy Workplace Environment,Approach to Promote Gender Equality and Women’s Empowerment,Measurement,"Does the company actively measure and track progress and steer towards greater diversity
and inclusion?",Dichotomous,Yes/No,,
250,Safe and Healthy Workplace Environment,Approach to Promote Gender Equality and Women’s Empowerment,Measurement,"Does the company have formal accountability mechanisms for progress and outcomes on
said strategy?",Dichotomous,Yes/No,,
251,Safe and Healthy Workplace Environment,Approach to Promote Gender Equality and Women’s Empowerment,Accountability and Transparency,"Does the company report its progress and target improvements (if any) to the Board of
Directors?",Dichotomous,Yes/No,,
252,Safe and Healthy Workplace Environment,Approach to Promote Gender Equality and Women’s Empowerment,Accountability and Transparency,"Does the company report its progress and target improvements (if any) to the public (e.g.,in its annual report)?",Dichotomous,Yes/No,,
253,Safe and Healthy Workplace Environment,Approach to Promote Gender Equality and Women’s Empowerment,Accountability and Transparency,"Does the company have any policies around whistleblowing and subsequent retaliation to
whistleblowers?",Dichotomous,Yes/No,,
254,"Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Commitment,"Does the company set up standard policies and procedures for its procurement and distribution
processes?",Dichotomous,Yes/No,,
255,"Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Commitment,"Does the company have an explicit commitment to integrate women-owned and -led
businesses into its supply chain?",Dichotomous,Yes/No,,
256,"Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Commitment,Does the company review its policies and processes to ensure no gender discrimination against men or women exists in its supply chains?,Dichotomous,Yes/No,,
257,"Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Communication,"Does the company have a stand-alone policy or a commitment embedded in a broader
corporate policy that includes proactively sourcing from women-owned or -led business?",Dichotomous,Yes/No,,
258,"Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Communication,"Does the company have a supplier or vendor code of conduct that explicitly states support
for gender equality as well as requires specific gender equality related policies and practices?",Dichotomous,Yes/No,,
259,"Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Implementation,"Does the company encourage suppliers and vendors to have a gender equality strategy or
policy that addresses nondiscrimination, equal pay for equal work and the health and
safety of women workers?",Dichotomous,Yes/No,,
260,"Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Implementation,"Does the company have robust due diligence or assessment processes for suppliers and
vendors to ensure they are not causing or contributing to adverse human rights impacts,
particularly for women and girls?",Dichotomous,Yes/No,,
261,"Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Implementation,"Does the company undertake due diligence or assessments to identify human trafficking in
its supply chain? Is there a requirement for suppliers to have a complaints mechanism and
whistleblower protection in place?",Dichotomous,Yes/No,,
262,"Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Implementation,Does the company incorporate gender equality expectations in supplier communications?,Dichotomous,Yes/No,,
263,"Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Implementation,"Does the company offer independently, or as part of a business association, ongoing capacity
building to suppliers and vendors to support continuous improvement on gender equality?",Dichotomous,Yes/No,,
264,"Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Implementation,"Does the company encourage and work with suppliers to adopt policies and practices that support
quality health and hygiene for both men and women?",Dichotomous,Yes/No,,
265,"Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Implementation,"Does the company work with suppliers to develop a corrective action plan if gender equality risks
or challenges arise?",Dichotomous,Yes/No,,
266,"Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Implementation,"Does the company have outreach initiatives to communicate procurement opportunities to
women-owned or -led businesses?",Dichotomous,Yes/No,,
267,"Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Implementation,Does the company use databases to identify women-owned businesses in the purchasing process?,Dichotomous,Yes/No,,
268,"Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Implementation,"Does the company set procurement targets and/or goals for the amount and percentage spent
with women-owned businesses?",Dichotomous,Yes/No,,
269,"Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Implementation,Does the company participate in trade fairs that engage gender-diverse suppliers?,Dichotomous,Yes/No,,
270,"Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Implementation,Does the company provide training to women to complete formal bid processes?,Dichotomous,Yes/No,,
271,"Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Implementation,"Does the company apply a supplier diversity program to its procurement and distribution
processes?",Dichotomous,Yes/No,,
272,"Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Implementation,Does the company collect sex-disaggregated information from its suppliers?,Dichotomous,Yes/No,,
273,"Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Implementation,"Does the company collect information to ensure that its suppliers adopt anti-sexual harassment
(and any gender discrimination) policy, and have no involvement with human trafficking and
slavery?",Dichotomous,Yes/No,,
274,"Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Implementation,Is there a different pricing strategy for men and women suppliers?,Dichotomous,Yes/No,,
275,"Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Measurement,"Does the company track the percentage spent with women-owned or -led businesses?
",Dichotomous,Yes/No,,
276,"Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Measurement,"Does the company encourage suppliers to set and measure targets and benchmarks on
gender equality?
",Dichotomous,Yes/No,,
277,"Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Measurement,"Does the company conduct regular audits to assess and measure suppliers’ compliance
with the aforementioned human rights and gender equality requirements?
",Dichotomous,Yes/No,,
278,"Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Measurement,"Does the company measure and evaluate complaints related to incidents in its supply
chains and their gender dimensions?",Dichotomous,Yes/No,,
279,"Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Accountability and Transparency,"Does the company report publicly to company stakeholders on percentage spent with
women-owned or -led businesses?",Dichotomous,Yes/No,,
280,"Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Accountability and Transparency,"Does the company report to the Board of Directors on the percentage spent with wom-
en-owned or -led businesses?",Dichotomous,Yes/No,,
281,"Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Accountability and Transparency,"Does the company make its supply chain transparent to the public?
",Dichotomous,Yes/No,,
282,"Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Accountability and Transparency,"Does the company include gender equality criteria in standard auditing protocols, supplier
scorecards or other supply chain management tools?",Dichotomous,Yes/No,,
283,"Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Accountability and Transparency,Does the company include gender-specific questions in supplier self-assessments?,Dichotomous,Yes/No,,
284,"Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Accountability and Transparency,"Does the company regularly conduct supplier audits and communicate the results?
",Dichotomous,Yes/No,,
285,"Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Accountability and Transparency,"Does the company consider sex-disaggregated information as a performance metric within
its supply chains?",Dichotomous,Yes/No,,
286,"Women-Powered
Value Chains",Approach to Target Women Customers,Commitment,"Do products and services provided by the company consider the needs of men and women
customers?",Dichotomous,Yes/No,,
287,"Women-Powered
Value Chains",Approach to Target Women Customers,Communication,"Does the company encourage customers of all genders to provide feedback on products
and services?",Dichotomous,Yes/No,,
288,"Women-Powered
Value Chains",Approach to Target Women Customers,Communication,Does the company develop guidelines for customer services and support teams?,Dichotomous,Yes/No,,
289,"Women-Powered
Value Chains",Approach to Target Women Customers,Implementation,"Does the company review marketing materials and tactics to protect against negative
gender stereotypes?",Dichotomous,Yes/No,,
290,"Women-Powered
Value Chains",Approach to Target Women Customers,Implementation,Does the company have a marketing strategy tailored to women as a customer segment?,Dichotomous,Yes/No,,
291,"Women-Powered
Value Chains",Approach to Target Women Customers,Implementation,"Does the company have a marketing approach that seeks to challenge existing gender
norms and promote positive images of women and girls?",Dichotomous,Yes/No,,
292,"Women-Powered
Value Chains",Approach to Target Women Customers,Implementation,"Does the company consult with focus groups to ensure marketing approaches are not
perpetuating gender stereotypes?",Dichotomous,Yes/No,,
293,"Women-Powered
Value Chains",Approach to Target Women Customers,Implementation,"Does the company conduct market research on the specific product and/or service needs
of women and girls?",Dichotomous,Yes/No,,
294,"Women-Powered
Value Chains",Approach to Target Women Customers,Implementation,"Does the company develop products and/ or services that specifically target or meet the
needs of women and girls?",Dichotomous,Yes/No,,
295,"Women-Powered
Value Chains",Approach to Target Women Customers,Implementation,"Does the company consider gender differences in access to products and/or services and
subsequently changes distribution models to accommodates these differences?",Dichotomous,Yes/No,,
296,"Women-Powered
Value Chains",Approach to Target Women Customers,Implementation,"Does the company consult stakeholders and focus groups to continuously improve the
design of products and services for women?",Dichotomous,Yes/No,,
297,"Women-Powered
Value Chains",Approach to Target Women Customers,Implementation,"Does the company have a systematic approach to gathering customer feedback and
collecting customer information regarding gender? If so, does the company include
customers’ gender information in its business performance analysis? ",Dichotomous,Yes/No,,
298,"Women-Powered
Value Chains",Approach to Target Women Customers,Implementation,"Is there a process to ensure advertisements of products and services provided by the com-
pany do not discriminate against men and women?",Dichotomous,Yes/No,,
299,"Women-Powered
Value Chains",Approach to Target Women Customers,Implementation,Is there a different pricing strategy for men and women customers?,Dichotomous,Yes/No,,
